timestamp,score
60:00,27:21
59:49,26:21
59:43,26:21
59:07,26:21
58:34,26:21
58:03,25:21
57:28,25:20
57:05,25:20
57:01,24:20
56:25,24:20
55:53,24:20
54:51,23:20
54:36,23:19
54:04,23:19
53:41,23:18
53:01,23:18
52:32,23:18
52:26,23:17
52:14,23:17
52:06,23:17
51:51,23:17
51:51,23:17
50:50,23:17
49:51,23:17
49:19,22:17
48:57,22:16
47:40,22:16
46:53,22:16
46:48,22:16
46:15,22:16
46:12,22:16
45:52,22:16
45:51,21:16
45:16,21:16
44:39,21:15
43:59,21:15
43:29,21:15
43:14,20:15
43:06,20:14
42:09,20:14
42:03,19:14
41:41,19:14
41:15,19:14
41:06,18:14
40:26,18:14
40:01,17:14
39:25,17:14
38:47,17:14
37:35,16:14
37:27,16:14
37:22,16:14
36:56,16:14
36:51,16:14
36:24,15:14
35:52,15:13
34:45,14:13
34:35,14:13
33:43,13:13
33:11,13:13
32:38,13:13
32:14,13:12
32:03,13:12
31:04,12:12
30:30,12:12
30:00,11:12
29:49,11:11
29:05,10:11
28:51,10:11
28:17,10:11
27:36,10:11
26:35,10:11
26:24,10:11
25:43,10:10
25:24,10:10
25:18,10:10
24:01,10:10
23:05,10:9
23:01,9:9
22:57,9:9
21:47,9:9
21:28,8:9
21:03,8:9
20:57,8:9
20:53,8:8
20:41,8:8
20:37,8:7
19:35,8:7
19:28,8:6
18:36,7:6
18:30,7:5
17:55,7:5
17:50,7:5
17:19,7:5
17:07,7:5
16:10,7:5
15:19,7:5
15:13,7:5
14:22,7:5
14:18,6:5
14:12,6:5
13:46,6:5
13:36,5:5
13:00,5:5
12:58,4:5
12:50,4:5
12:39,4:5
12:31,4:5
11:24,4:5
11:21,3:5
11:03,3:5
10:32,3:5
10:05,3:5
09:35,3:4
09:11,3:4
08:56,3:4
08:31,3:4
08:07,3:4
07:37,3:4
07:34,3:3
07:05,3:3
06:34,2:3
05:58,2:2
05:50,2:2
04:34,2:2
04:15,1:2
03:49,1:2
03:35,1:2
03:04,1:1
03:02,1:1
02:40,1:1
02:18,1:1
02:13,1:1
02:01,0:1
01:16,0:0
01:11,0:0
