timestamp,score
59:56,26:34
59:48,26:34
58:57,26:33
58:50,26:33
58:36,26:33
57:56,26:33
57:43,26:32
57:05,26:32
56:29,25:32
55:50,25:31
55:47,25:31
54:59,25:31
54:20,25:30
54:10,25:30
53:33,25:30
53:27,25:30
52:49,25:30
52:32,24:30
51:53,24:30
51:42,23:30
51:19,23:29
50:44,23:29
50:19,23:28
50:08,22:28
49:39,22:27
49:34,21:27
49:00,21:27
48:50,21:27
48:08,21:26
48:02,20:26
47:03,20:26
46:10,20:26
45:28,20:25
44:44,19:25
44:44,20:24
44:34,19:24
43:59,19:24
43:51,19:24
43:20,19:23
42:40,19:23
42:03,19:22
41:28,18:22
40:50,18:21
39:50,18:21
39:22,18:20
39:12,17:20
39:04,17:19
38:14,17:19
38:02,17:18
37:34,17:18
37:31,17:18
37:21,17:18
36:22,17:18
36:12,16:18
35:40,16:17
35:33,15:17
34:53,15:16
34:46,14:16
34:12,14:16
34:03,13:16
33:33,13:15
32:55,12:15
32:16,12:14
32:07,12:14
31:09,12:14
29:18,11:14
28:43,10:14
28:34,10:13
27:44,10:13
27:17,10:12
26:27,10:12
26:08,9:12
25:49,9:12
25:03,9:12
24:49,8:12
24:10,8:12
23:49,8:12
23:42,8:12
23:05,8:12
22:59,8:12
22:48,8:12
21:34,8:12
21:23,7:12
20:39,7:11
20:07,7:11
19:46,7:10
19:00,6:10
18:33,6:9
18:24,6:9
18:01,6:9
17:56,6:8
17:01,6:8
16:24,6:8
16:24,6:8
16:19,6:8
15:40,6:8
15:35,5:8
15:00,5:8
14:44,4:8
14:00,4:7
13:51,4:7
13:12,4:7
12:56,3:7
12:21,3:7
11:45,3:7
10:33,3:6
09:57,2:6
09:14,2:5
08:47,2:5
08:42,2:5
08:09,2:4
07:36,2:4
06:55,2:3
06:52,2:3
06:11,2:3
06:04,2:2
05:15,2:2
04:38,1:2
03:44,1:1
02:57,1:1
02:50,1:1
01:26,1:1
01:16,1:1
00:39,1:0
