timestamp,score
58:08,22:26
58:08,22:25
58:08,22:25
58:08,22:25
58:08,22:25
57:51,22:24
57:46,22:24
57:14,22:24
57:05,22:24
56:26,22:24
55:34,22:24
54:53,22:24
54:49,22:24
54:36,22:24
53:52,22:23
53:40,21:23
53:28,21:22
53:03,20:22
52:45,20:21
51:59,20:21
51:50,20:21
51:42,20:21
50:44,20:21
49:33,20:21
49:31,20:20
49:21,20:20
48:44,20:19
47:35,19:19
46:52,19:19
46:14,19:19
46:09,19:19
45:12,18:19
45:06,18:18
44:25,18:18
44:13,18:17
43:31,18:17
42:35,18:17
42:20,17:17
41:58,17:17
41:26,17:17
40:47,17:17
40:37,17:17
40:21,17:17
39:41,17:17
39:28,17:16
39:10,17:16
38:25,17:16
38:20,17:15
37:38,17:15
37:21,17:14
37:09,16:14
36:40,16:14
35:55,16:14
35:13,15:14
35:02,15:13
34:20,15:13
34:06,15:13
34:00,15:12
33:24,15:12
31:55,15:12
31:18,15:11
30:47,14:11
29:24,14:11
29:24,13:11
28:14,12:11
28:03,12:11
26:56,11:10
25:59,11:10
25:21,11:10
25:02,11:10
24:39,11:10
23:40,11:10
23:34,11:10
23:32,11:9
22:54,11:9
22:49,10:9
22:12,10:9
21:59,9:9
21:07,9:8
20:45,9:8
20:10,9:8
20:00,9:7
19:26,9:7
18:52,9:7
18:46,9:7
18:10,9:7
17:22,9:7
16:48,9:7
16:13,9:7
15:49,9:7
15:40,9:7
15:36,8:7
15:08,8:7
15:03,7:7
14:20,7:7
13:27,7:7
13:16,7:6
12:46,6:6
12:32,6:6
12:21,6:5
11:37,5:5
11:37,5:4
11:01,5:4
10:50,4:4
10:12,4:3
09:26,3:3
08:56,3:3
08:36,3:2
08:07,3:2
07:43,3:1
06:45,3:1
05:45,3:1
05:37,3:1
05:00,3:1
04:46,3:1
04:37,2:1
04:24,2:1
04:07,2:1
03:16,2:1
02:23,2:1
02:16,1:1
01:25,1:0
