timestamp,score
59:56,28:21
59:18,28:21
58:47,28:21
57:32,27:21
57:26,27:20
56:55,27:20
56:49,27:20
55:49,27:20
55:33,27:19
55:09,27:19
54:59,27:19
54:31,27:19
54:09,26:19
53:02,25:19
52:42,25:19
51:44,25:18
51:16,25:18
51:16,25:18
50:45,25:17
50:45,25:17
50:03,24:17
49:07,24:16
49:02,23:16
48:38,7:6
48:03,22:16
47:32,22:16
47:23,22:15
46:49,22:15
45:28,22:15
45:25,21:15
45:14,21:15
45:03,21:15
44:54,21:15
44:12,21:15
43:17,21:14
43:02,20:14
42:16,20:14
42:00,20:13
40:53,19:13
40:46,19:12
40:38,19:12
40:34,18:12
39:28,18:12
39:15,18:11
39:09,18:11
38:10,18:11
38:06,18:11
37:58,17:11
37:08,17:11
36:36,16:11
35:51,16:11
35:43,15:11
35:10,15:11
34:32,14:11
33:29,14:10
33:07,13:10
32:17,13:9
32:03,12:9
31:03,12:9
30:31,12:9
30:00,12:9
28:57,11:9
28:05,11:9
28:05,11:9
27:37,11:9
27:20,11:9
26:43,11:9
25:53,11:9
25:16,10:8
25:16,10:8
24:38,9:8
23:03,9:7
22:48,8:7
22:40,8:7
22:19,8:7
21:39,8:7
21:39,8:7
21:29,8:7
20:47,8:7
20:05,8:7
18:57,8:6
17:37,7:6
16:41,7:6
16:32,6:6
15:57,6:6
15:46,5:6
15:03,5:6
14:56,5:6
14:43,5:5
14:39,4:5
14:03,4:5
13:53,3:5
13:18,3:5
12:48,3:5
12:44,3:4
12:15,3:4
11:37,3:4
11:30,3:4
10:37,3:4
09:58,3:4
08:45,3:3
08:30,3:3
07:31,3:3
07:10,2:3
07:05,2:3
06:13,2:2
06:08,1:2
06:08,1:2
05:59,1:2
05:09,1:2
04:52,1:2
04:09,1:2
04:00,1:2
03:19,1:2
03:07,1:1
02:50,0:1
02:25,0:1
01:47,0:0
00:57,0:0
