timestamp,score
59:55,26:27
59:34,26:27
59:04,26:27
58:31,26:27
57:54,26:26
57:00,25:26
56:56,25:25
56:32,25:25
55:42,25:25
55:42,25:24
54:56,25:24
54:51,25:24
54:44,25:24
54:38,24:24
53:38,24:24
53:12,24:24
52:50,24:24
52:33,24:24
52:25,23:24
51:46,23:24
51:36,22:24
51:21,22:24
51:17,22:23
51:12,22:23
51:07,22:23
50:58,22:23
49:58,22:23
49:51,22:22
49:10,22:22
48:43,21:22
47:54,21:22
47:50,21:21
47:46,21:21
47:41,21:21
47:23,21:21
46:49,21:21
46:25,21:21
45:57,21:21
45:46,21:21
45:07,21:21
44:54,21:21
44:09,20:21
43:21,20:21
42:53,19:21
42:17,19:20
41:33,18:20
41:33,18:20
41:18,18:19
40:32,17:19
39:49,17:18
39:09,17:18
38:51,17:17
38:51,17:17
38:35,17:17
37:53,16:17
37:40,16:16
37:25,15:16
36:23,15:15
36:14,14:15
35:20,14:14
35:13,13:14
34:41,13:14
34:16,12:14
34:04,12:14
33:51,12:14
33:04,12:14
32:31,12:13
32:00,12:13
31:57,12:13
30:37,12:13
30:00,11:13
29:49,11:13
29:41,11:13
29:39,11:12
29:03,11:12
28:08,11:11
27:31,11:11
26:49,11:11
26:37,11:11
25:47,11:11
24:54,10:11
24:18,10:11
23:56,9:11
23:53,9:11
23:12,9:10
23:02,9:10
22:25,9:10
22:06,8:10
21:54,8:10
21:48,8:9
20:46,8:9
20:23,8:9
20:13,7:9
20:06,7:9
19:59,7:9
19:27,7:9
19:06,7:9
19:00,7:8
18:23,7:8
17:59,7:7
17:59,7:7
17:44,7:7
16:53,7:7
16:23,7:7
16:14,7:7
16:04,7:6
15:34,7:6
14:53,7:5
13:34,6:5
13:07,6:4
12:53,6:4
12:19,6:4
11:46,6:3
11:15,5:3
10:07,5:3
09:51,4:3
09:43,4:3
09:11,4:3
09:05,3:3
08:50,3:3
08:48,3:3
08:05,3:3
07:56,3:3
07:42,3:3
07:09,2:3
06:46,2:3
06:32,1:3
05:30,1:3
05:10,1:2
05:10,1:2
04:23,1:2
04:14,1:2
03:20,0:2
02:42,0:2
02:21,0:1
02:16,0:1
02:00,0:1
02:00,0:1
01:41,0:1
01:32,0:0
00:57,0:0
