timestamp,score
59:59,26:26
59:35,26:26
59:10,25:26
58:36,25:26
58:12,25:26
58:11,25:25
57:42,25:25
57:10,24:25
56:38,24:25
56:36,24:25
56:21,24:25
55:17,24:25
54:55,24:25
54:53,24:25
53:50,24:25
53:40,24:25
52:58,24:24
52:19,24:24
51:48,24:24
51:40,24:24
51:33,23:24
50:24,23:24
50:12,23:24
49:11,23:24
48:59,23:24
48:23,23:24
48:15,22:24
47:26,22:23
46:43,21:23
46:36,21:23
46:02,21:23
45:45,21:22
44:54,21:22
44:33,20:22
43:54,20:22
43:45,20:22
42:31,20:21
42:28,20:21
42:20,19:21
41:55,19:21
41:49,18:21
40:21,18:21
40:05,4:4
39:45,18:20
39:28,17:20
38:56,17:20
38:38,17:19
38:27,17:19
38:10,16:19
37:16,16:19
37:09,16:19
36:35,16:18
35:42,15:18
35:07,15:18
35:01,14:18
34:11,14:18
34:03,14:18
33:28,14:17
33:04,13:17
32:31,13:16
32:28,12:16
31:50,12:16
31:32,12:15
31:32,12:15
31:04,12:15
30:59,11:15
30:30,11:15
29:59,11:15
29:19,11:15
28:28,11:15
28:17,11:15
27:46,11:15
27:16,10:15
27:07,10:14
26:52,10:13
26:30,10:13
26:13,10:13
25:53,9:13
25:19,9:13
25:02,9:12
24:45,9:12
24:11,9:12
23:33,9:12
23:13,9:11
23:08,9:11
22:35,9:11
22:22,9:11
21:35,9:11
21:21,9:11
20:44,9:10
20:04,8:10
19:24,8:9
19:10,8:9
18:17,8:8
17:58,7:8
17:23,7:7
17:04,7:7
16:54,7:7
16:31,7:6
16:06,7:6
15:58,7:6
15:16,7:6
14:41,7:6
14:33,6:6
13:51,6:5
13:45,5:5
12:47,5:5
12:41,4:5
11:49,4:5
11:11,4:5
11:05,4:5
10:38,4:4
10:01,4:4
09:54,3:4
09:14,3:4
09:01,3:4
08:57,3:3
08:50,3:3
08:10,3:3
07:32,3:3
06:56,3:2
06:51,3:2
06:07,3:2
05:42,2:2
05:27,2:2
04:18,2:1
04:08,2:1
04:04,2:1
03:16,2:1
02:49,2:0
02:03,2:0
01:53,1:0
00:34,1:0
