timestamp,score
60:00,26:26
60:00,26:26
59:35,26:26
59:12,26:26
59:06,26:25
58:16,26:25
58:11,26:24
57:34,26:24
57:21,26:24
57:11,26:24
55:55,26:24
55:18,26:24
54:29,25:24
54:00,25:23
53:40,24:23
53:21,24:23
52:40,24:22
52:09,23:22
51:47,23:21
51:24,23:21
50:50,22:21
50:22,22:21
49:32,21:21
49:21,21:21
49:14,21:21
48:18,21:21
47:43,21:21
47:33,21:21
47:19,21:21
46:39,21:21
46:38,21:21
46:32,20:21
46:20,20:21
45:38,20:21
45:29,20:20
44:20,20:20
43:44,20:19
42:22,20:19
42:22,20:19
41:40,20:19
41:10,19:19
41:06,19:19
41:06,19:19
40:22,18:19
40:15,18:19
40:01,18:19
39:49,18:19
39:14,18:19
39:03,18:18
38:28,17:18
38:13,17:17
36:58,17:17
36:41,17:16
36:08,16:16
35:25,16:15
34:52,15:15
34:35,15:14
34:00,14:14
33:55,14:13
33:19,13:13
33:11,13:12
32:33,13:12
32:26,13:11
31:34,13:11
31:25,13:11
30:41,12:11
30:00,12:11
28:53,12:11
28:47,12:10
28:10,11:10
28:04,11:10
27:28,11:10
27:13,11:10
27:03,11:10
26:18,10:10
26:15,10:9
26:07,10:9
25:42,10:9
25:15,9:9
24:57,9:9
24:13,9:9
24:05,9:9
23:39,9:9
22:37,9:9
22:24,9:9
22:21,9:9
22:09,9:9
21:16,9:9
21:08,9:8
20:14,9:8
19:50,9:8
19:41,9:8
18:39,9:8
18:23,9:8
17:26,9:8
16:43,9:8
16:21,9:8
15:57,9:8
15:11,9:8
14:59,9:8
14:39,8:8
13:56,8:7
13:44,8:7
13:04,8:7
12:32,8:6
12:23,7:6
11:48,7:6
11:36,6:6
10:34,6:6
10:34,6:6
10:18,5:6
10:08,5:6
09:31,4:6
09:25,4:6
09:12,4:6
09:02,4:5
08:29,3:5
08:20,3:5
07:45,2:5
07:39,2:4
07:07,2:4
07:01,2:3
06:46,2:3
06:28,2:3
05:43,2:3
05:03,2:3
04:36,2:3
04:28,2:3
03:47,2:2
03:12,1:2
02:35,1:1
02:05,0:1
01:44,0:1
01:32,0:0
01:23,0:0
