timestamp,score
60:00,29:30
59:56,29:29
59:56,29:29
59:26,28:29
59:26,28:29
59:22,28:28
58:49,28:28
57:47,28:28
57:35,27:28
56:58,27:27
56:48,26:27
56:16,26:27
56:05,25:27
55:10,25:27
54:59,25:27
53:56,25:27
53:44,25:27
53:11,24:27
52:44,24:26
52:40,23:26
52:00,23:26
51:47,23:26
51:41,23:25
51:11,23:25
51:11,23:25
50:27,23:24
50:22,22:24
50:19,22:24
49:27,22:24
49:16,22:24
48:41,22:24
48:38,22:23
47:35,22:23
46:40,22:23
46:05,22:23
45:26,21:23
45:00,21:22
45:00,21:22
44:11,21:22
43:19,20:22
42:45,20:22
42:43,19:22
42:24,19:22
41:50,19:22
41:42,19:21
41:07,19:21
40:58,19:21
40:37,19:20
40:34,18:20
40:19,18:20
39:51,18:20
39:14,18:20
39:06,17:20
38:35,17:20
38:24,17:20
37:55,17:19
37:53,16:19
36:57,16:19
36:42,16:19
36:06,15:19
35:20,15:18
35:00,14:18
34:28,14:18
33:50,14:17
33:39,14:17
33:24,14:17
31:52,13:17
31:15,13:17
30:33,13:17
30:00,13:16
29:47,13:16
29:25,13:16
29:13,13:16
28:38,13:15
27:37,13:15
26:57,13:15
26:55,13:14
26:46,13:14
26:16,13:14
25:53,13:14
25:31,13:14
24:53,12:14
24:30,12:14
23:42,11:14
23:13,11:14
21:59,11:14
21:49,10:14
21:14,10:13
20:38,9:13
20:25,9:12
19:45,9:12
18:58,9:12
18:09,8:12
18:06,8:12
17:54,8:12
17:20,8:12
17:16,7:12
16:39,7:12
16:17,7:12
15:47,7:12
15:44,7:12
15:30,7:12
15:19,7:11
15:10,7:11
14:39,7:11
13:51,7:10
13:45,7:10
13:35,7:10
12:58,7:9
12:50,6:9
12:00,6:9
11:52,5:9
11:04,5:9
10:26,5:9
10:18,5:9
10:11,5:8
09:23,5:8
09:06,5:8
08:36,5:7
07:32,4:7
07:12,4:6
06:59,4:6
05:43,4:6
05:36,4:5
05:36,4:5
04:47,4:5
04:34,3:5
04:22,3:4
04:12,3:4
03:59,3:3
03:22,3:3
02:56,3:3
02:09,2:3
02:00,2:2
01:45,2:2
01:02,2:1
00:54,1:1
00:37,1:0
