timestamp,score
59:56,29:33
59:54,29:33
59:32,29:33
59:03,28:33
58:56,27:33
58:31,27:32
58:26,26:32
58:20,26:32
57:56,26:31
56:57,26:31
56:51,26:31
56:45,26:31
56:29,26:31
55:21,26:31
55:12,26:31
54:49,26:31
54:39,26:31
54:12,26:30
54:03,25:30
53:52,25:29
53:33,25:29
53:02,24:29
52:25,24:28
52:21,24:28
51:26,24:28
51:11,24:28
50:41,24:27
50:06,24:27
49:25,23:27
48:51,23:26
47:59,23:26
47:50,23:25
47:16,22:25
47:06,22:25
46:32,22:25
46:28,22:24
45:52,22:24
45:05,21:24
45:00,21:23
44:51,21:23
44:09,21:23
43:15,20:23
42:39,20:22
42:23,19:22
41:55,19:21
41:29,18:21
40:54,18:20
40:18,17:20
40:09,17:19
39:31,17:19
39:28,17:19
39:18,17:18
39:00,17:18
38:13,17:18
38:07,16:18
37:36,16:18
37:06,15:18
36:49,15:18
36:08,15:17
35:58,15:17
35:20,15:17
35:10,15:17
34:45,15:16
34:23,14:16
33:47,14:15
33:34,13:15
33:24,13:15
32:27,13:15
31:42,13:14
31:03,13:14
30:00,13:14
29:10,13:14
28:59,13:13
28:54,13:13
28:08,12:13
27:37,12:12
27:14,12:12
27:10,12:12
26:32,12:11
26:23,11:11
25:49,11:11
25:34,11:11
25:15,11:11
24:40,11:11
23:59,11:11
23:49,11:11
23:00,11:10
22:52,10:10
21:44,10:9
21:36,10:9
20:56,10:9
20:20,9:9
20:11,9:9
20:01,9:9
19:20,9:9
18:43,9:9
18:07,9:8
17:54,9:8
17:17,9:8
16:55,9:8
16:20,9:8
15:36,9:7
15:25,8:7
15:07,8:7
15:02,7:7
14:32,7:7
13:54,6:7
13:10,6:6
12:41,6:6
11:59,6:5
11:54,5:5
11:19,5:5
11:05,5:5
10:27,4:5
10:08,3:5
09:37,2:5
09:08,2:4
08:36,2:4
08:12,2:3
07:36,2:3
07:10,2:3
07:06,2:3
06:12,2:2
05:37,1:2
05:13,1:1
04:24,1:1
03:41,1:1
03:13,1:0
03:05,1:0
02:58,0:0
02:14,0:0
02:08,0:0
01:23,0:0
00:49,0:0
