timestamp,score
60:00,24:24
59:53,23:24
59:15,23:24
58:57,23:24
58:24,23:24
58:18,22:24
57:42,22:24
57:01,22:23
56:57,21:23
56:40,21:23
56:30,20:23
56:14,20:23
55:40,20:23
55:08,19:23
54:58,19:23
54:25,19:22
53:48,18:22
52:54,18:22
52:49,18:22
52:18,18:22
51:41,18:22
51:12,18:22
50:49,17:22
50:40,17:22
50:32,17:21
50:18,17:21
49:29,17:21
48:51,17:21
48:41,17:21
48:04,17:20
47:59,16:20
47:29,16:20
47:23,16:20
46:16,16:20
46:16,16:20
46:07,15:20
45:59,15:19
45:22,15:19
44:28,15:19
44:05,15:18
42:45,15:18
42:19,15:17
41:30,15:17
41:13,14:17
40:19,14:17
40:11,13:17
39:21,13:17
39:08,13:17
38:00,13:16
37:55,13:16
36:53,13:16
36:18,13:15
35:41,12:15
34:57,12:14
34:51,11:14
34:13,11:14
34:04,11:14
33:14,11:13
33:09,10:13
32:08,10:13
31:25,9:13
30:44,9:13
29:53,8:13
29:34,8:13
28:36,8:13
28:26,8:13
28:18,8:12
27:58,8:12
27:55,8:12
27:49,8:11
27:20,8:11
27:14,8:10
26:56,8:10
26:28,8:9
26:20,7:9
25:52,7:9
25:21,6:9
25:21,6:9
25:21,6:9
24:55,6:9
24:42,6:9
24:04,6:9
23:20,6:9
23:09,6:9
22:33,6:9
22:12,6:9
21:24,6:9
21:14,6:9
20:35,6:8
19:27,5:8
18:34,5:7
17:58,5:7
17:38,5:6
17:06,5:6
17:06,4:6
17:05,4:6
16:16,4:6
15:37,4:6
14:38,4:6
13:31,4:6
13:01,4:6
12:30,4:6
11:57,4:6
11:57,4:6
11:28,3:6
11:02,3:5
10:05,3:5
09:56,3:4
09:56,3:4
09:45,3:4
08:49,2:4
08:17,2:3
07:55,1:3
07:18,1:3
06:56,1:2
06:34,1:2
06:25,1:2
05:41,1:2
05:03,1:2
04:56,1:2
03:40,1:2
03:25,1:1
03:05,1:1
02:47,1:1
02:23,1:1
01:56,1:1
01:08,1:1
00:40,1:0
00:34,0:0
