timestamp,score
59:43,26:24
59:38,26:24
59:30,26:24
59:10,25:24
58:46,25:24
58:37,25:23
57:53,25:23
57:47,25:23
56:58,25:23
56:52,24:23
56:14,24:23
55:49,24:23
54:45,24:23
53:58,23:23
53:47,23:23
52:52,23:23
52:47,23:22
52:20,23:22
51:44,22:22
51:39,22:21
51:16,22:21
51:02,22:21
50:28,22:21
50:14,22:20
49:38,22:20
49:29,22:20
48:56,22:20
48:10,22:20
47:34,22:20
46:42,21:20
46:08,21:20
45:58,21:19
45:18,20:19
44:13,20:19
43:36,19:19
43:31,19:19
42:33,19:19
42:21,19:18
41:40,19:18
41:26,19:18
40:56,19:18
40:48,19:18
40:02,18:18
39:42,18:17
38:47,17:17
38:10,17:16
38:09,17:16
37:59,17:16
37:28,17:16
37:23,16:16
37:20,16:16
36:19,16:16
36:09,16:16
35:28,16:16
35:23,16:15
34:49,16:15
34:41,16:15
33:56,16:15
33:48,16:15
33:36,16:15
32:59,15:15
31:36,15:14
31:09,14:14
30:32,14:14
30:00,13:14
29:53,13:14
29:53,13:14
29:47,13:13
29:06,13:13
28:36,12:13
28:06,12:13
27:34,12:12
27:02,12:12
26:46,12:11
26:12,12:11
25:56,11:11
25:34,11:11
24:57,11:11
23:49,11:11
23:18,11:11
23:08,11:11
22:37,11:11
21:55,11:11
20:54,11:11
20:54,11:11
19:48,10:11
19:38,10:10
18:46,10:10
17:47,10:9
17:09,9:9
16:01,9:8
15:54,9:8
15:15,9:8
14:28,9:8
14:17,9:8
13:59,9:8
13:09,8:8
13:03,8:7
12:58,7:7
12:48,7:7
12:21,6:7
11:35,6:7
11:22,6:6
11:16,5:6
10:44,5:6
10:39,4:6
10:33,4:6
10:11,3:6
09:38,3:6
09:34,3:5
09:01,3:5
08:56,3:4
08:11,3:4
08:02,3:3
06:45,2:3
06:37,2:3
06:31,1:3
05:31,1:3
05:25,1:3
04:26,1:3
04:17,1:2
03:19,1:2
03:15,1:1
02:29,1:1
02:12,0:1
01:22,0:1
01:12,0:0
00:49,0:0
