timestamp,score
60:00,22:33
59:26,22:33
58:57,21:33
58:43,21:33
57:55,21:33
57:23,21:33
57:13,20:33
56:05,20:32
55:57,19:32
55:49,19:32
55:38,19:32
55:07,19:32
54:59,19:32
54:36,19:31
54:22,19:31
53:50,19:31
53:37,18:31
53:28,18:31
52:08,18:31
51:32,18:30
50:39,17:30
50:06,17:29
49:40,17:29
49:34,17:29
49:26,17:28
49:15,17:28
49:09,17:27
48:18,17:27
47:51,17:26
47:45,17:26
47:35,17:26
46:41,17:26
45:18,17:25
44:54,16:25
44:00,16:24
43:39,16:24
43:33,16:24
43:28,16:23
43:21,16:23
42:48,16:22
42:29,16:22
42:09,16:22
42:00,16:22
41:54,16:21
41:27,16:21
40:28,16:20
39:27,15:20
39:16,14:20
38:42,14:20
38:06,13:20
37:47,13:20
37:23,13:20
37:04,13:20
36:41,13:19
36:14,13:19
35:38,13:19
35:20,13:19
35:20,13:19
34:49,13:19
34:12,13:19
33:19,13:19
32:38,12:19
31:27,12:19
30:38,11:19
30:33,11:18
30:00,11:18
29:55,10:18
29:47,10:18
29:14,10:18
27:53,10:17
27:41,9:17
27:05,9:17
26:37,9:17
26:29,9:17
26:21,9:17
25:47,9:17
25:42,9:16
25:11,9:16
24:39,9:16
24:15,8:16
23:54,8:15
23:54,8:15
22:50,8:15
22:39,7:15
22:34,7:14
21:39,7:14
21:00,7:13
20:19,6:13
19:51,6:13
19:10,6:13
18:20,6:12
17:44,6:12
17:01,6:11
16:56,5:11
16:56,5:11
16:46,5:11
16:38,5:10
15:59,5:10
15:52,4:10
14:54,4:10
14:23,4:10
13:46,4:9
13:23,4:9
12:43,3:9
12:14,3:9
12:05,3:9
11:57,3:8
11:48,3:8
11:08,3:7
10:36,2:7
10:29,2:7
10:20,2:6
10:09,2:6
10:03,2:5
09:23,2:5
09:17,2:4
08:13,2:4
07:10,2:3
06:59,2:3
06:27,2:2
06:22,2:2
06:15,1:2
06:07,1:2
05:51,1:2
05:14,1:2
05:07,1:2
04:24,1:2
04:19,0:2
03:24,0:2
03:15,0:2
03:02,0:1
02:39,0:1
02:18,0:1
01:23,0:0
00:34,0:0
