timestamp,score
60:00,23:23
60:00,23:23
60:00,23:23
59:43,23:23
59:43,23:23
59:06,23:23
58:19,23:23
57:46,22:23
56:48,22:22
56:42,21:22
56:42,21:22
56:01,21:22
55:25,21:21
55:19,20:21
55:11,20:21
54:24,20:21
53:22,19:21
52:38,19:21
51:33,19:21
51:12,18:21
50:03,18:20
49:38,18:20
49:22,18:20
48:11,18:20
47:55,18:20
47:26,17:20
46:12,17:19
45:18,17:19
44:46,16:19
44:16,16:18
43:29,16:18
42:18,16:18
42:09,16:17
41:27,16:17
40:35,15:17
40:27,15:16
40:17,15:16
39:34,15:16
39:11,15:16
38:57,15:15
38:14,15:15
37:10,14:15
36:24,14:14
35:35,13:14
34:42,13:14
33:47,13:14
33:40,12:14
33:18,12:14
32:35,12:14
32:22,11:14
31:40,11:14
31:10,11:14
31:01,11:13
29:33,10:13
29:11,10:12
28:17,10:12
27:37,9:12
27:04,9:11
26:59,9:11
26:32,9:11
25:29,9:11
25:11,9:11
23:47,9:11
23:30,8:11
23:26,8:11
22:39,8:10
22:00,8:10
21:22,7:10
20:41,7:10
19:57,6:10
19:16,6:9
18:57,5:9
18:44,5:9
18:40,5:8
18:32,5:8
17:34,5:7
17:00,4:7
15:54,4:7
15:23,4:6
14:43,4:6
14:29,4:6
14:06,4:6
13:18,4:5
13:00,4:5
13:00,4:5
12:52,4:5
12:15,4:5
12:07,4:5
11:23,4:4
10:49,4:4
10:36,4:3
10:13,3:3
09:50,3:3
08:53,3:3
07:36,2:3
07:16,2:2
06:16,2:2
04:51,2:2
04:21,2:2
03:38,1:2
03:30,1:1
03:30,1:1
03:11,1:1
02:53,0:1
01:49,0:1
01:30,0:0
01:30,0:0
01:10,0:0
