timestamp,score
60:00,24:28
59:22,24:27
59:08,23:27
58:57,23:27
58:25,23:27
57:19,23:27
56:35,22:27
56:02,22:26
55:12,22:26
54:56,22:26
54:21,22:26
53:31,21:26
52:48,21:25
51:46,20:25
51:40,20:25
50:46,20:24
50:24,20:24
49:10,20:23
48:41,19:23
48:04,19:23
47:27,19:23
46:25,18:23
46:19,18:22
46:08,18:22
45:34,18:21
45:08,17:21
44:44,17:20
44:25,17:20
44:01,16:20
43:58,16:20
43:09,16:20
42:52,16:20
42:19,16:20
42:13,16:20
41:51,16:20
40:58,15:20
40:44,15:19
40:22,15:19
40:11,15:19
40:03,15:19
39:21,15:18
38:15,15:18
37:40,15:18
36:51,15:18
36:44,15:18
36:18,14:18
35:34,14:18
35:25,14:17
34:55,13:17
34:00,13:16
33:28,13:16
32:56,13:15
32:03,13:15
30:54,13:15
30:38,13:15
30:00,13:14
30:00,12:14
28:30,12:13
28:12,12:12
27:38,12:12
26:42,12:12
25:47,12:12
25:03,12:12
24:39,11:12
24:37,11:12
24:07,11:12
23:51,11:11
23:51,11:11
23:43,11:11
22:57,11:11
22:24,11:10
21:59,10:10
21:02,10:9
20:56,9:9
20:08,9:9
19:53,9:9
19:09,8:9
18:47,8:9
18:31,8:9
18:17,7:9
17:23,7:8
16:40,6:8
15:56,6:8
15:32,6:8
15:24,6:8
14:43,6:8
14:30,5:8
14:02,5:7
13:47,5:7
13:15,4:7
12:42,4:6
12:01,3:6
10:36,3:5
09:57,3:5
09:21,2:5
09:18,2:5
09:14,2:4
09:08,2:4
08:58,2:4
08:07,2:4
07:57,2:3
07:11,2:3
07:01,2:2
06:28,1:2
05:53,1:2
05:45,0:2
04:37,0:2
04:29,0:2
03:53,0:2
03:24,0:1
03:05,0:1
02:52,0:1
02:10,0:1
01:00,0:0
