timestamp,score
59:48,26:28
59:07,25:28
58:25,25:27
57:29,25:27
56:24,25:27
55:22,25:27
55:06,24:27
54:49,24:27
54:16,24:26
52:56,24:26
52:13,24:25
51:09,24:25
51:09,24:24
50:05,24:24
49:39,23:24
48:58,23:23
48:45,22:23
48:09,22:23
48:07,22:23
47:33,21:23
47:20,21:22
46:43,21:22
46:13,21:21
45:50,20:21
45:48,20:21
45:46,20:21
45:34,20:21
45:08,20:20
44:21,20:20
44:08,20:20
43:30,20:19
42:59,20:19
42:17,20:18
41:40,19:18
41:33,19:18
41:02,19:17
40:59,18:17
40:08,18:17
40:04,18:16
39:08,18:16
38:53,18:16
38:48,17:16
38:27,17:16
38:17,17:16
38:02,16:16
37:53,16:15
37:07,16:15
36:13,16:15
36:00,15:15
35:25,15:15
35:14,14:15
35:06,14:14
34:33,13:14
34:03,13:14
33:01,12:14
32:50,12:14
32:09,12:14
32:04,12:13
31:55,12:13
31:10,12:13
29:58,12:13
29:00,11:13
28:49,11:13
28:46,11:13
28:11,11:13
27:40,10:13
27:06,10:12
26:53,10:12
26:11,10:11
26:05,9:11
25:53,9:11
25:28,8:11
24:34,8:11
24:29,8:10
24:15,8:10
24:12,7:10
23:32,7:10
21:57,7:10
20:58,7:9
20:29,6:9
19:40,6:8
19:36,5:8
18:53,5:8
18:26,5:7
17:47,5:7
17:31,5:6
17:21,5:6
15:23,4:6
14:32,4:5
13:41,3:5
13:02,3:4
11:49,3:4
10:44,3:4
10:36,3:4
10:28,3:3
10:23,2:3
09:49,2:3
09:30,1:3
08:36,1:3
08:32,1:2
07:42,1:2
07:26,1:2
07:14,1:2
06:17,1:2
06:04,1:2
05:04,0:2
04:54,0:1
03:26,0:1
02:55,0:1
02:12,0:1
01:28,0:1
01:25,0:0
01:03,0:0
