timestamp,score
59:56,25:31
59:06,25:31
58:37,25:30
58:00,25:30
57:48,25:29
57:25,25:29
57:16,25:29
56:17,25:29
55:48,25:29
55:11,25:29
54:50,24:29
53:41,24:28
53:30,24:28
53:07,24:28
52:43,23:28
52:39,23:27
52:07,22:27
51:25,22:26
50:57,21:26
50:54,21:25
50:12,21:25
50:11,21:25
49:29,20:25
49:04,20:24
47:52,19:24
47:47,19:23
47:33,19:23
46:54,19:23
46:51,18:23
46:50,18:23
46:06,18:23
45:51,18:23
45:27,18:23
45:15,17:23
44:10,17:23
43:35,16:23
42:52,16:22
42:52,16:22
42:29,15:22
42:24,15:21
41:34,15:21
41:25,15:21
41:02,15:21
40:06,15:21
39:50,15:20
39:20,14:20
39:12,14:20
39:03,14:20
37:52,14:20
37:41,13:20
36:54,13:19
36:05,13:19
35:38,13:19
34:43,13:19
34:25,13:18
34:11,13:18
33:35,13:18
33:28,13:18
32:41,13:18
32:00,13:18
31:07,13:17
29:57,12:17
29:52,12:16
29:19,12:16
29:09,12:15
28:33,11:15
28:24,11:14
27:52,10:14
27:20,10:14
26:58,10:14
26:02,9:14
25:31,9:14
25:08,9:14
24:40,9:14
24:21,8:14
23:52,8:14
22:42,8:14
22:18,7:14
22:10,7:14
21:59,7:14
21:22,7:14
20:53,7:14
20:44,7:14
20:35,7:14
20:30,7:13
19:43,7:13
19:41,7:12
18:51,7:12
18:05,6:12
18:01,6:11
17:23,6:11
16:52,6:10
16:07,5:10
15:37,5:10
14:58,5:10
14:47,4:10
13:45,4:9
13:41,4:9
13:04,4:9
12:22,4:8
11:56,3:8
11:43,3:8
11:38,3:7
11:11,3:7
10:07,3:6
10:05,2:6
09:44,2:6
09:42,1:6
08:58,1:6
08:50,1:5
08:30,1:5
08:25,1:5
07:49,1:5
07:26,1:4
06:38,1:4
05:34,1:4
05:07,1:3
04:24,1:3
04:16,1:3
03:56,0:3
03:24,0:3
02:37,0:3
02:30,0:2
02:19,0:2
02:12,0:1
01:33,0:1
01:30,0:0
01:13,0:0
