21_05_,21_04_,21_03_,21_02_,20_12_,20_11_,20_10_,20_09_,Average Performance (Whole Season),Median Performance (Whole Season),time
-0.3333333333333333,-0.125,1.0,-1.3333333333333333,-0.9555555555555554,-1.0,0.3333333333333333,0.0,-0.3017361111111111,-0.3017361111111111,1
-0.25,-0.4,1.25,-1.4125,-1.3333333333333333,-1.0833333333333335,0.225,-0.2733333333333333,-0.40968750000000004,-0.4,2
-0.4,-0.5,1.45,-1.4583333333333333,-1.6666666666666667,-1.3333333333333333,0.25,-0.3888888888888889,-0.5059027777777778,-0.5,3
-0.4444444444444444,-0.5,1.75,-1.8333333333333335,-2.0,-1.5,0.5833333333333333,0.0,-0.4930555555555556,-0.4930555555555556,4
-1.111111111111111,-0.25,1.6666666666666667,-2.3333333333333335,-2.1666666666666665,-1.888888888888889,0.9166666666666667,0.16666666666666666,-0.625,-0.625,5
-1.7083333333333333,0.29166666666666663,1.0,-3.1666666666666665,-2.1666666666666665,-2.0,1.2222222222222223,-0.27777777777777773,-0.8506944444444443,-0.8506944444444443,6
-2.0,0.16666666666666666,0.25,-4.0,-2.1666666666666665,-1.8333333333333333,1.5,-0.5833333333333333,-1.0833333333333333,-1.0833333333333333,7
-2.4166666666666665,-0.25,-0.16666666666666666,-4.333333333333333,-1.8333333333333333,-1.1666666666666667,1.8333333333333333,-0.6666666666666666,-1.125,-1.125,8
-2.8333333333333335,-0.5,-0.25,-4.25,-1.5,-0.45833333333333337,1.8333333333333333,-0.6249999999999999,-1.0729166666666667,-0.6249999999999999,9
-2.8333333333333335,-0.8333333333333334,-0.25,-4.166666666666667,-1.3333333333333333,-0.08333333333333333,1.8888888888888886,-0.75,-1.045138888888889,-0.8333333333333334,10
-3.25,-1.2777777777777777,-0.3333333333333333,-4.0,-1.0833333333333335,-0.25,2.0,-0.6666666666666666,-1.1076388888888888,-1.0833333333333335,11
-3.625,-1.0833333333333335,-0.16666666666666666,-4.0,-0.6666666666666666,-0.6666666666666667,2.0555555555555554,-0.29999999999999993,-1.0565972222222222,-0.6666666666666667,12
-4.0,-0.6666666666666666,-0.16666666666666666,-4.166666666666667,-0.75,-1.0,2.3333333333333335,-0.6666666666666666,-1.1354166666666665,-0.75,13
-4.5555555555555545,-0.25,0.0,-4.0,-1.6666666666666665,-1.1666666666666667,3.0,-1.0,-1.2048611111111107,-1.1666666666666667,14
-5.333333333333333,0.16666666666666666,0.38888888888888884,-3.916666666666667,-2.583333333333333,-1.1666666666666667,3.75,-1.0833333333333335,-1.2222222222222223,-1.1666666666666667,15
-6.0,0.16666666666666666,1.111111111111111,-3.5555555555555554,-2.8333333333333335,-0.75,4.166666666666667,-1.4166666666666665,-1.1388888888888888,-1.1388888888888888,16
-6.166666666666667,0.16666666666666666,1.5,-3.3333333333333335,-3.25,-0.5555555555555555,4.75,-1.6666666666666667,-1.0694444444444446,-1.0694444444444446,17
-6.458333333333333,0.16666666666666666,1.5,-3.666666666666667,-3.833333333333333,-0.5,4.75,-1.6666666666666667,-1.2135416666666665,-1.2135416666666665,18
-6.166666666666667,-0.125,1.6666666666666667,-4.333333333333334,-4.5,-0.5833333333333333,4.291666666666667,-1.7,-1.43125,-1.43125,19
-5.75,-0.8333333333333333,1.4444444444444444,-5.0,-5.333333333333333,-0.5,4.5,-2.1666666666666665,-1.7048611111111112,-1.7048611111111112,20
-4.722222222222222,-1.5833333333333333,1.0833333333333335,-5.166666666666667,-5.833333333333333,-0.27777777777777773,5.0,-2.6666666666666665,-1.7708333333333333,-1.7708333333333333,21
-4.611111111111111,-2.0,1.0555555555555556,-5.0,-5.555555555555556,0.05555555555555555,5.333333333333333,-3.0,-1.715277777777778,-2.0,22
-5.083333333333334,-2.25,1.3333333333333333,-5.0,-5.5,0.0,6.3,-2.916666666666667,-1.6395833333333334,-2.25,23
-5.0,-2.5,1.5833333333333335,-4.833333333333333,-5.444444444444444,-0.25,7.0,-2.583333333333333,-1.503472222222222,-2.5,24
-5.0,-3.055555555555556,1.6666666666666667,-4.833333333333333,-5.166666666666667,-0.38888888888888884,6.833333333333333,-2.111111111111111,-1.5069444444444444,-2.111111111111111,25
-5.333333333333334,-3.583333333333333,1.8888888888888886,-4.583333333333334,-5.0,-1.0,6.833333333333333,-1.5,-1.5347222222222228,-1.5347222222222228,26
-6.0,-3.6666666666666665,2.333333333333333,-4.333333333333333,-4.75,-1.5,7.5,-1.1666666666666665,-1.4479166666666665,-1.5,27
-6.5,-3.5,3.166666666666667,-4.166666666666667,-4.416666666666666,-2.111111111111111,8.944444444444445,-0.5,-1.1354166666666665,-2.111111111111111,28
-6.666666666666667,-3.277777777777778,3.6666666666666665,-3.722222222222222,-3.916666666666667,-2.75,9.5,-0.16666666666666666,-0.9166666666666666,-2.75,29
-6.916666666666666,-3.3333333333333335,3.25,-2.9444444444444446,-4.0,-3.333333333333333,9.125,-0.08333333333333333,-1.0295138888888888,-2.9444444444444446,30
-7.416666666666666,-3.277777777777778,3.0,-2.5,-4.0,-3.8333333333333335,8.166666666666668,-0.25,-1.2638888888888888,-2.5,31
-7.833333333333334,-2.6666666666666665,2.8333333333333335,-2.625,-3.8333333333333335,-4.277777777777778,7.583333333333334,-0.3333333333333333,-1.3940972222222219,-2.625,32
-8.166666666666666,-2.25,3.083333333333333,-3.0,-3.75,-4.5,7.166666666666666,-0.4444444444444444,-1.4826388888888888,-2.25,33
-8.0,-2.3333333333333335,3.416666666666667,-3.5,-4.166666666666666,-4.5,6.333333333333333,-0.5,-1.65625,-2.3333333333333335,34
-7.611111111111111,-2.5,3.75,-4.0,-4.866666666666666,-4.611111111111112,5.416666666666667,-0.41666666666666663,-1.854861111111111,-2.5,35
-7.083333333333334,-2.6666666666666665,3.6666666666666665,-4.416666666666666,-4.75,-4.833333333333333,5.0,-0.5,-1.9479166666666665,-2.6666666666666665,36
-7.166666666666667,-2.6666666666666665,3.125,-4.5,-4.666666666666667,-4.833333333333333,4.833333333333333,-0.8333333333333334,-2.088541666666667,-2.6666666666666665,37
-7.0,-2.6111111111111107,2.6666666666666665,-4.333333333333333,-5.0,-5.111111111111111,4.833333333333333,-1.0,-2.194444444444444,-2.6111111111111107,38
-6.833333333333333,-2.916666666666667,2.5,-4.458333333333333,-5.333333333333333,-5.5,4.611111111111112,-1.3333333333333335,-2.4079861111111107,-2.916666666666667,39
-6.833333333333333,-3.222222222222222,2.5,-5.333333333333333,-5.5,-5.555555555555556,4.166666666666666,-1.6666666666666667,-2.680555555555556,-3.222222222222222,40
-6.5,-2.777777777777778,2.166666666666667,-5.833333333333333,-5.5,-5.666666666666667,3.333333333333333,-1.7,-2.8097222222222227,-2.8097222222222227,41
-6.111111111111112,-2.5,1.8333333333333335,-5.583333333333334,-5.208333333333333,-5.833333333333333,2.8333333333333335,-1.6666666666666667,-2.779513888888889,-2.779513888888889,42
-5.916666666666666,-2.583333333333333,1.5555555555555556,-5.416666666666666,-4.666666666666667,-5.833333333333333,2.8333333333333335,-2.0,-2.7534722222222223,-2.7534722222222223,43
-6.166666666666667,-2.8333333333333335,1.6666666666666667,-5.333333333333333,-4.055555555555555,-5.333333333333333,3.25,-2.833333333333333,-2.7048611111111107,-2.8333333333333335,44
-6.583333333333334,-2.8333333333333335,1.6666666666666667,-5.5,-3.416666666666667,-4.611111111111111,3.833333333333333,-3.75,-2.649305555555556,-3.416666666666667,45
-7.0,-2.75,1.8333333333333333,-6.111111111111111,-3.2916666666666665,-4.5,4.5,-4.5,-2.7274305555555554,-3.2916666666666665,46
