timestamp,score
59:59,27:27
59:42,27:27
59:41,27:27
58:42,27:27
58:29,27:26
57:45,26:26
56:32,26:26
56:02,26:26
55:50,26:26
55:07,26:26
53:57,26:26
53:48,25:26
53:33,13:10
52:51,25:26
52:42,25:25
52:01,25:25
51:35,25:24
50:53,24:24
50:39,24:23
50:30,24:23
49:34,24:23
49:26,24:23
48:28,24:23
47:12,24:22
46:13,24:22
46:04,24:21
45:19,23:21
45:07,23:20
44:36,22:20
44:30,22:19
44:23,22:19
43:41,21:19
43:04,21:19
42:58,20:19
42:51,20:19
42:04,20:19
41:10,20:19
40:56,20:19
40:09,19:19
40:01,19:18
38:50,19:18
38:38,18:18
37:49,18:18
37:40,17:18
36:55,17:18
36:41,17:18
35:55,17:18
35:15,17:18
35:03,17:17
34:36,16:17
34:20,16:16
33:34,15:16
33:29,15:15
33:11,15:15
32:31,15:15
32:12,14:15
31:39,14:14
31:25,14:14
30:46,14:14
30:00,14:13
29:36,14:13
29:00,14:13
28:52,13:13
28:04,13:13
27:52,13:12
26:53,13:12
26:53,13:12
25:58,13:11
25:39,13:11
25:23,13:10
24:46,13:10
24:41,13:10
24:33,13:10
24:15,13:10
23:43,13:10
23:00,13:10
22:22,13:10
22:18,13:9
21:48,13:9
21:46,13:9
21:44,12:9
21:12,12:9
21:12,12:9
21:05,11:9
20:54,11:9
20:07,11:9
19:35,11:9
19:31,10:9
18:24,10:9
18:15,9:9
17:36,9:9
17:32,8:9
17:17,8:9
16:32,8:8
16:32,8:8
16:29,8:8
15:37,7:8
15:26,7:7
14:46,6:7
14:35,6:6
14:34,6:6
13:18,6:6
11:59,6:5
11:21,5:5
10:40,5:4
10:30,4:4
10:24,4:4
09:43,4:4
09:35,4:3
08:39,4:3
07:40,4:2
07:33,3:2
07:24,3:2
06:50,3:2
06:30,3:1
06:00,3:1
05:24,3:1
05:16,2:1
04:53,2:1
04:16,2:1
04:02,1:1
03:17,1:1
03:09,1:0
02:45,1:0
02:28,0:0
01:40,0:0
01:29,0:0
00:52,0:0
00:39,0:0
