timestamp,score
60:00,22:40
59:51,22:40
59:44,22:40
59:01,22:40
58:49,22:40
58:16,22:40
57:59,22:39
56:58,22:39
56:33,22:39
56:22,22:38
55:54,22:38
55:46,22:38
55:41,22:38
54:57,22:38
54:49,22:37
54:11,21:37
53:41,21:36
53:14,21:36
52:53,21:36
51:56,21:35
51:53,20:35
51:26,20:35
50:32,20:35
50:30,20:34
50:04,20:34
49:50,20:34
49:42,20:34
49:11,20:33
49:04,20:33
48:55,19:33
48:45,19:33
47:43,19:33
47:12,19:33
46:19,19:33
45:49,19:33
45:39,19:33
44:50,19:33
44:47,19:32
44:19,19:32
44:12,19:32
44:08,19:31
43:46,19:31
43:19,19:30
42:55,19:30
42:45,19:29
42:21,18:29
42:13,18:28
42:08,18:28
41:44,18:28
41:06,17:28
40:40,17:27
40:32,16:27
40:05,16:27
39:40,15:27
39:14,15:26
38:36,15:26
37:33,15:25
37:33,15:25
37:10,14:25
36:28,14:24
36:13,13:24
35:43,13:24
35:15,13:23
34:13,12:23
34:10,12:22
34:10,12:22
33:49,12:22
33:08,12:22
33:05,12:21
33:05,12:21
32:28,12:21
31:44,11:21
31:36,11:20
31:02,10:20
30:32,10:19
29:56,9:19
29:20,9:19
29:17,9:19
29:13,9:19
28:28,9:19
28:02,9:19
27:22,9:19
26:54,9:19
26:29,8:19
26:20,8:19
25:11,8:19
24:51,8:18
24:33,8:18
24:25,7:18
23:47,7:18
23:20,6:18
22:36,6:17
22:24,6:17
22:07,6:17
21:23,6:16
21:10,5:16
20:35,5:16
20:27,5:15
20:17,5:15
19:34,5:15
19:26,4:15
19:18,4:15
18:51,3:15
18:46,3:14
17:55,3:14
17:25,3:14
17:12,3:13
16:41,3:13
16:36,3:13
15:57,3:13
15:56,3:13
15:34,3:12
15:08,3:12
14:55,2:12
14:47,2:12
13:51,2:12
13:18,2:11
13:11,2:11
13:01,2:11
12:38,2:11
12:16,2:10
11:35,2:10
11:12,2:10
10:53,2:10
10:53,2:10
10:47,2:9
10:15,2:9
10:12,2:8
09:40,2:8
09:21,2:7
09:20,2:7
09:12,2:7
09:00,2:7
08:48,2:6
08:01,2:6
07:14,1:6
07:11,1:6
07:04,1:5
05:58,1:5
05:54,1:4
05:33,1:4
05:21,1:3
04:45,1:3
04:25,0:3
04:21,0:2
04:08,0:2
03:54,0:2
03:45,0:2
03:17,0:2
02:37,0:2
02:26,0:2
02:01,0:1
01:16,0:1
00:48,0:1
00:35,0:1
