timestamp,score
59:55,26:24
59:42,26:23
59:23,25:23
59:18,25:23
59:09,25:23
59:01,25:23
58:27,25:23
58:17,25:23
57:55,25:23
57:45,25:22
57:29,24:22
57:13,24:22
56:46,24:22
56:32,23:22
56:07,23:21
56:03,23:21
55:32,23:21
54:43,23:21
54:32,23:20
53:31,22:20
52:51,22:20
52:09,21:20
51:56,21:20
51:06,21:20
50:57,20:20
50:23,20:20
50:13,20:19
49:17,20:19
49:03,19:19
47:53,19:19
46:46,19:18
46:42,19:18
46:38,18:18
45:58,18:18
45:42,17:18
44:59,17:18
44:48,17:18
44:39,16:18
44:14,16:18
44:07,16:18
43:50,16:18
43:37,16:18
42:45,16:18
42:31,16:18
41:47,16:17
41:34,16:17
40:50,16:16
40:39,15:16
40:17,15:15
39:17,15:15
38:37,14:15
38:11,14:14
37:59,14:14
37:10,14:14
37:03,14:14
36:37,14:14
36:03,14:14
36:00,14:13
35:51,14:13
35:23,14:13
35:11,14:12
34:19,13:12
33:33,13:12
33:26,12:12
32:17,12:12
31:48,12:12
31:39,12:12
30:27,12:12
30:00,12:12
29:50,12:12
29:11,12:11
29:05,11:11
29:04,11:11
28:54,11:11
28:40,11:11
27:57,10:11
27:21,10:11
27:10,10:11
26:27,10:10
26:22,9:10
26:15,9:10
25:24,9:10
24:23,9:10
23:53,9:10
23:18,9:10
23:09,9:10
22:21,9:9
22:02,8:9
21:58,8:9
21:02,8:8
20:22,7:8
20:18,7:7
20:03,7:7
19:22,7:7
19:10,6:7
18:05,6:7
17:40,6:7
16:59,6:7
16:31,6:7
15:56,6:7
15:55,6:7
15:37,6:6
15:27,6:6
14:58,6:6
14:23,5:6
14:04,5:5
13:05,4:5
12:49,4:4
12:41,4:4
12:37,3:4
12:28,3:4
11:13,3:4
10:21,3:4
10:07,2:4
09:30,2:3
09:26,2:3
08:23,2:3
08:13,2:3
08:05,2:2
07:26,2:2
07:19,2:1
06:30,2:1
06:06,1:1
05:01,1:1
04:52,1:0
04:48,0:0
04:40,0:0
03:56,0:0
03:15,0:0
02:58,0:0
02:01,0:0
01:23,0:0
