timestamp,score
60:00,26:21
59:46,26:21
59:38,26:20
59:09,26:20
58:24,26:20
57:54,25:20
57:50,25:20
57:09,25:20
56:28,25:19
56:27,25:19
56:02,24:19
55:47,24:19
55:46,24:19
54:52,24:19
54:34,24:18
53:48,23:18
53:19,23:17
52:29,23:17
51:56,23:17
51:50,22:17
50:44,22:17
50:33,21:17
50:22,21:17
49:34,21:17
49:34,21:17
49:23,20:17
48:56,20:16
48:16,19:16
48:07,19:16
47:10,18:16
46:42,18:15
46:24,17:15
45:37,17:14
44:22,17:14
44:22,17:14
43:52,17:14
43:02,17:14
42:55,17:14
42:12,17:14
41:58,17:13
41:21,17:13
41:15,16:13
40:40,16:13
40:33,16:13
39:39,16:13
39:39,16:13
39:31,15:13
38:48,15:13
38:39,14:13
38:03,14:12
37:50,14:12
37:44,14:12
37:22,14:12
37:03,14:12
36:01,14:12
35:49,14:12
34:54,14:11
34:10,14:11
33:19,14:10
33:06,14:10
31:49,14:10
31:03,0:1
30:36,14:10
30:00,14:10
29:55,13:10
29:01,13:9
28:48,12:9
28:46,12:8
28:31,12:8
27:55,12:7
27:25,11:7
26:15,11:7
25:34,10:7
24:41,10:7
24:33,9:7
24:25,9:7
24:12,9:7
23:08,9:7
21:58,9:7
21:53,8:7
20:57,8:7
20:06,8:6
18:58,8:6
18:32,8:6
18:00,7:6
17:11,7:5
17:10,7:5
17:04,6:5
16:20,6:5
16:10,5:5
15:25,5:5
15:14,4:5
14:55,4:5
14:17,4:5
14:08,4:5
13:34,4:5
12:57,4:5
12:32,3:5
12:31,3:5
11:44,3:5
11:01,3:5
10:14,3:5
10:04,2:5
09:06,2:4
08:35,2:4
08:31,2:4
08:13,2:4
07:39,2:4
06:53,2:3
06:41,1:3
05:53,1:3
05:44,0:3
05:39,0:2
05:23,0:2
04:24,0:2
04:14,0:1
03:45,0:1
02:54,0:1
02:29,0:1
02:20,0:1
02:10,0:1
01:03,0:1
