timestamp,score
59:59,29:30
58:59,29:30
58:43,28:30
57:56,28:29
57:24,28:29
56:53,27:29
56:26,27:28
55:51,27:28
55:11,27:28
54:41,26:28
54:32,26:27
54:06,26:27
53:31,26:27
53:19,25:27
52:48,25:27
52:18,24:27
52:01,24:26
51:18,23:26
51:07,23:25
50:42,22:25
50:05,22:24
50:01,22:24
49:33,22:24
49:02,22:24
48:10,21:24
47:41,21:24
46:49,21:24
46:39,21:23
45:45,20:23
44:40,20:22
43:39,19:22
43:02,19:21
42:25,18:21
42:21,18:20
42:00,18:20
41:21,18:20
40:51,17:20
39:53,17:19
38:48,16:19
38:42,16:18
38:33,16:18
37:45,15:18
37:45,15:18
37:37,15:17
37:09,15:17
36:23,15:16
36:13,15:16
36:04,15:16
35:26,15:16
35:17,15:15
34:39,15:15
34:32,15:14
34:04,15:14
33:59,15:14
33:40,15:13
32:34,15:13
32:19,15:12
31:33,15:12
30:34,15:11
30:00,14:11
29:56,14:11
29:41,14:11
29:22,14:11
28:28,14:10
27:50,13:10
27:41,13:10
27:09,12:10
26:41,12:10
25:25,12:10
25:23,11:10
24:48,11:10
23:44,11:10
23:04,10:10
22:52,10:9
22:30,10:9
21:49,10:9
21:33,10:8
20:56,10:8
20:15,10:7
19:42,9:7
18:18,9:6
18:07,9:6
17:34,9:6
16:57,9:6
16:57,9:6
16:32,8:6
16:22,8:6
15:34,8:6
14:55,8:6
14:46,7:6
14:46,7:6
13:54,7:6
12:55,7:6
12:40,6:6
12:03,6:5
11:33,6:5
10:40,6:4
10:40,6:4
09:50,5:4
09:31,5:3
08:23,5:3
08:18,4:3
08:06,4:3
07:33,3:3
07:06,3:3
06:25,3:2
05:50,3:2
05:42,3:2
05:01,3:2
04:45,3:1
04:10,2:1
04:02,2:0
03:11,2:0
02:21,2:0
02:09,1:0
01:21,1:0
00:37,0:0
