timestamp,score
60:00,37:35
59:40,36:35
59:27,36:34
59:10,35:34
58:43,35:34
58:28,35:33
58:02,35:33
57:58,34:33
57:34,34:33
57:02,34:33
56:37,34:32
56:10,34:32
55:52,34:31
55:31,33:31
55:11,33:31
55:07,33:30
55:07,33:30
54:58,33:30
53:50,32:30
53:22,32:30
52:43,32:30
52:30,31:30
52:00,31:29
50:40,30:29
50:05,30:28
49:26,29:28
49:07,29:27
49:02,29:27
48:13,29:27
47:38,29:27
46:30,28:27
46:09,28:26
45:58,28:26
45:46,28:26
44:36,28:26
43:50,28:25
43:46,27:25
43:18,27:25
43:15,26:25
42:58,26:25
42:40,26:25
42:11,26:25
42:10,26:25
41:36,26:24
41:26,26:24
41:18,26:23
40:17,26:23
40:13,26:23
40:08,26:22
39:40,26:22
39:16,26:21
38:22,25:21
38:10,25:20
37:35,25:20
37:23,25:19
36:51,24:19
36:40,24:19
36:20,24:19
35:56,23:19
35:24,23:18
35:16,22:18
34:53,22:17
34:49,21:17
34:37,21:17
34:11,21:17
34:04,20:17
33:41,20:16
33:27,19:16
32:46,19:15
32:14,18:15
31:52,18:14
30:54,18:14
29:56,18:13
29:49,17:13
29:46,17:12
28:39,17:12
27:51,16:12
27:45,16:11
27:10,16:11
26:58,16:11
26:03,16:11
25:46,15:11
25:40,15:11
25:12,15:10
25:00,14:10
24:33,14:10
24:29,13:10
24:11,13:10
23:41,13:10
22:53,13:9
22:42,12:9
22:11,12:9
21:39,12:8
21:35,11:8
21:12,11:8
20:49,11:8
19:52,10:8
19:26,10:8
18:47,9:8
18:32,9:7
17:41,9:7
17:29,9:7
16:51,8:7
15:23,8:7
15:14,7:7
14:27,7:6
14:06,7:6
13:29,6:6
12:48,6:6
12:19,5:6
12:18,5:6
12:09,5:5
11:26,5:5
10:37,5:5
10:25,5:4
09:08,4:4
08:50,4:4
08:23,4:4
07:23,3:4
06:57,3:3
06:39,2:3
06:24,2:2
06:24,2:2
05:59,2:2
05:29,2:2
05:03,2:1
04:46,1:1
04:11,1:1
02:46,1:1
02:08,1:1
01:53,1:0
01:43,1:0
01:33,1:0
01:20,1:0
