timestamp,score
60:00,27:29
59:28,26:29
59:03,26:28
58:54,26:28
58:32,26:27
57:25,26:27
57:04,25:27
57:02,25:27
56:57,25:26
56:44,25:26
56:06,25:25
55:57,25:25
55:27,25:24
55:13,24:24
54:39,24:24
54:39,24:24
54:01,23:24
53:40,23:24
53:13,23:24
52:56,23:24
52:18,23:24
51:43,22:24
50:41,22:24
50:27,22:24
49:36,22:23
49:05,21:23
49:02,21:23
48:29,21:22
48:17,21:22
47:45,21:21
47:01,21:21
46:25,21:20
46:14,21:20
45:44,21:19
45:20,21:19
44:58,21:19
44:27,21:19
43:43,21:19
43:36,21:18
43:13,21:18
42:27,21:18
42:09,21:18
41:45,21:18
40:46,21:18
39:43,21:17
39:33,20:17
38:42,20:16
38:42,20:16
38:36,19:16
37:48,19:16
37:36,18:16
36:43,18:16
36:37,17:16
35:33,17:15
35:26,16:15
34:51,16:14
34:23,15:14
34:19,15:14
33:25,15:13
33:08,15:13
32:11,15:13
31:37,15:12
31:23,14:12
30:23,14:12
30:00,13:12
29:59,12:12
29:52,12:12
29:52,12:12
29:45,11:12
29:08,11:12
29:03,11:12
28:28,11:12
27:25,11:12
26:48,11:11
26:24,10:11
25:49,10:11
25:06,10:10
24:19,10:10
23:25,10:10
22:49,9:10
22:11,9:9
21:24,9:9
20:54,9:9
20:54,9:9
19:48,8:9
19:29,8:8
18:59,8:8
18:53,7:8
17:49,7:8
17:36,7:8
17:01,7:8
16:03,7:8
15:17,7:8
14:45,7:8
13:52,7:7
13:30,6:7
13:25,6:7
13:11,6:7
12:31,5:7
12:18,5:7
12:11,5:7
11:56,5:7
11:23,5:6
10:43,5:6
10:06,4:6
09:33,4:5
08:52,4:5
08:20,4:4
08:09,4:4
07:25,4:4
06:31,3:4
06:17,3:3
05:38,3:3
05:17,3:3
04:44,3:3
04:31,2:3
03:56,2:2
03:47,2:2
03:07,2:1
03:02,1:1
02:03,1:1
00:53,0:1
