timestamp,score
60:00,24:22
59:57,24:22
59:40,24:22
59:14,24:22
59:05,24:22
58:49,24:21
58:44,24:21
58:23,24:21
57:58,24:21
57:44,23:21
57:44,23:21
57:12,23:21
56:44,23:20
56:43,23:20
56:35,22:20
56:04,22:20
55:57,21:20
55:11,21:20
54:36,21:20
54:06,21:19
54:02,20:19
53:56,20:19
53:01,20:19
52:55,20:18
51:40,20:18
50:13,20:18
49:50,20:17
49:16,20:17
48:24,20:17
47:58,20:17
47:57,20:17
47:21,19:17
47:16,19:16
46:17,19:16
45:12,19:16
44:43,19:16
44:33,19:15
44:02,19:15
43:10,19:14
42:38,19:14
42:38,19:14
42:33,19:14
41:24,19:14
40:33,19:14
40:15,19:14
39:42,19:13
39:30,19:13
38:26,19:13
38:15,19:12
37:23,19:12
36:18,19:12
35:24,18:12
35:14,18:11
35:03,18:11
34:31,18:11
33:54,18:11
33:24,18:11
33:21,17:11
33:14,17:11
32:36,17:11
32:06,16:11
31:36,16:11
31:30,16:11
31:25,16:11
30:48,16:11
30:00,15:11
29:54,15:11
29:44,14:11
29:35,14:10
28:59,14:10
28:09,14:10
27:23,13:10
26:55,13:9
26:18,13:9
26:18,13:9
25:57,13:8
25:33,13:8
25:28,13:8
25:23,13:7
25:16,13:7
23:55,13:7
23:46,12:7
22:52,12:7
22:08,11:7
21:52,11:6
21:06,11:6
20:19,10:6
20:06,10:5
20:04,10:5
18:59,10:5
18:54,9:5
18:05,9:5
17:17,8:5
17:10,8:5
16:36,8:5
16:05,8:5
15:51,8:4
15:41,8:4
14:58,7:4
13:50,7:4
12:54,6:4
11:56,6:3
09:44,6:3
09:04,6:2
08:51,5:2
08:26,5:1
08:21,5:1
08:13,4:1
07:46,4:1
07:39,4:1
07:32,4:1
07:23,4:1
06:01,4:1
05:30,3:1
04:14,3:1
04:09,2:1
04:09,2:1
03:58,2:1
03:47,2:0
03:18,1:0
03:10,1:0
02:48,1:0
02:10,0:0
01:48,0:0
01:38,0:0
00:38,0:0
