timestamp,score
59:59,25:29
59:48,25:29
59:36,25:29
58:51,25:29
58:32,24:29
58:32,24:29
58:32,24:29
58:32,24:29
58:28,24:28
58:03,24:28
57:24,24:28
57:11,24:28
56:30,24:28
56:09,23:28
55:14,23:28
54:25,23:28
53:54,23:27
53:17,23:27
53:12,23:27
52:19,22:27
52:13,22:26
51:15,21:26
51:11,21:26
49:51,21:25
49:17,21:25
49:10,21:24
48:14,20:24
48:08,20:24
47:26,20:24
47:19,20:23
46:39,20:23
46:29,20:22
46:21,19:22
45:35,19:22
45:01,19:22
44:58,19:21
44:25,19:21
44:18,19:20
43:20,18:20
43:14,18:19
41:52,18:19
41:49,18:19
41:40,18:18
41:08,18:18
40:32,18:17
39:51,18:17
39:44,18:16
39:00,18:16
38:30,18:16
38:05,18:16
37:28,18:16
36:23,18:16
35:47,18:16
35:38,18:15
34:39,17:15
34:29,17:15
33:15,17:15
32:15,17:15
31:20,17:15
30:55,17:14
30:00,17:14
29:40,16:14
29:06,16:14
28:57,15:14
28:10,15:13
28:01,14:13
27:25,14:13
26:31,13:13
26:02,13:12
25:03,12:12
24:46,12:12
24:06,11:12
23:33,11:11
23:25,10:11
22:46,10:11
21:35,9:11
21:05,9:10
20:53,9:10
20:34,9:10
19:59,9:10
19:41,8:10
19:09,8:10
18:59,7:10
18:03,7:10
18:02,7:10
17:54,6:10
17:47,6:9
17:23,6:9
17:05,6:9
16:26,6:8
16:10,5:8
15:28,5:7
15:19,5:7
14:44,5:6
14:24,5:6
14:18,5:6
13:44,5:5
12:22,5:5
12:18,5:4
12:09,5:4
10:29,5:3
09:52,5:3
09:26,5:3
08:39,5:3
07:54,5:2
07:31,5:2
07:25,5:2
07:00,5:2
06:47,4:2
06:05,4:2
05:32,3:2
05:26,3:1
04:26,2:1
03:57,2:1
03:47,1:1
03:24,1:0
02:50,1:0
02:26,0:0
01:50,0:0
01:03,0:0
