timestamp,score
59:53,26:30
58:59,26:30
58:30,26:29
58:23,26:29
58:15,26:29
57:23,26:29
56:57,25:29
56:21,25:28
55:42,25:28
55:12,25:28
54:49,25:28
53:54,25:28
53:32,24:28
53:28,24:28
53:14,24:27
52:28,24:27
52:17,24:27
51:13,24:27
50:05,23:27
49:30,23:26
49:25,22:26
49:02,22:26
48:29,22:26
48:19,21:26
47:15,21:25
46:36,20:25
45:58,20:24
45:16,19:24
45:02,19:23
44:17,19:23
44:10,18:23
43:17,18:23
42:40,18:22
42:17,17:22
42:11,17:22
41:10,17:21
40:35,16:21
40:00,16:20
39:16,15:20
39:12,15:19
38:33,15:19
37:47,15:19
37:10,14:19
36:44,14:19
35:47,14:19
35:22,14:18
34:49,13:18
34:29,13:17
33:58,13:17
33:47,13:17
33:11,13:16
33:04,12:16
32:06,12:16
31:58,11:16
31:05,11:16
30:00,10:16
29:27,10:16
28:51,10:16
27:58,10:15
27:52,9:15
27:48,9:15
27:16,9:14
26:52,9:14
25:35,9:14
25:13,9:14
24:26,9:14
23:53,9:13
23:44,9:13
23:16,9:12
22:28,9:12
21:57,9:11
21:52,9:11
21:43,9:11
21:05,9:11
20:52,9:11
20:49,9:10
20:42,9:10
20:11,9:10
20:02,9:10
19:54,9:10
19:25,8:10
19:07,8:10
18:30,8:10
18:10,8:9
17:23,8:9
17:11,7:9
16:12,7:8
16:02,6:8
15:26,6:7
15:08,5:7
14:38,5:7
13:44,5:7
13:22,4:7
13:13,4:7
12:39,4:6
11:40,3:6
11:17,3:5
10:30,3:5
10:11,3:4
09:35,3:4
08:57,2:4
08:07,2:4
07:56,2:4
07:49,2:3
07:28,2:3
07:23,2:3
06:18,2:3
05:37,2:2
05:21,2:2
04:42,2:2
04:30,2:2
03:57,1:2
03:47,1:1
03:39,1:1
02:38,1:1
02:26,1:0
01:48,1:0
00:54,0:0
