timestamp,score
59:44,38:40
59:37,38:39
59:18,38:39
59:02,38:39
58:44,37:39
58:25,37:38
58:13,36:38
57:46,36:37
57:40,36:37
57:30,35:37
57:17,35:37
56:40,34:37
56:12,34:36
55:58,34:36
55:14,34:36
55:02,34:36
54:37,34:36
54:20,34:35
53:57,34:35
53:11,34:34
52:45,33:34
52:34,33:34
52:29,33:34
51:41,33:34
51:26,33:33
50:46,33:33
50:43,33:33
50:19,33:33
49:49,33:33
49:44,33:33
49:12,33:32
48:53,33:32
48:23,33:31
47:55,32:31
47:18,32:30
47:06,32:30
46:28,32:29
46:18,31:29
45:40,31:28
45:32,30:28
45:00,30:28
44:48,29:28
44:24,29:27
43:58,28:27
43:52,28:26
43:22,28:26
43:12,28:26
42:37,27:26
42:09,27:25
41:31,26:25
41:02,26:24
40:14,26:24
39:51,26:23
39:39,25:23
39:08,25:22
39:00,24:22
38:34,24:21
38:25,24:21
37:50,23:21
37:06,23:21
36:53,22:21
36:43,22:21
36:15,21:21
35:59,21:21
35:40,20:21
35:24,20:21
34:32,20:21
33:43,20:21
33:43,20:21
33:05,20:21
32:51,20:21
32:28,20:20
31:58,20:20
31:52,20:20
31:44,20:19
31:38,19:19
30:54,19:19
30:43,18:19
29:59,18:18
29:45,17:18
29:40,17:17
29:05,17:17
28:29,17:16
28:02,16:16
27:55,16:16
27:33,16:15
27:33,16:15
27:23,16:15
26:49,16:14
26:48,15:14
26:41,15:14
26:21,15:14
26:02,14:14
25:17,14:14
24:40,14:13
24:29,14:13
23:41,14:13
23:29,14:13
23:13,14:12
22:36,14:12
22:13,14:12
21:31,14:12
21:14,14:12
20:38,14:12
20:26,13:12
19:47,13:12
19:03,12:12
18:41,12:12
17:40,12:12
17:25,12:11
17:19,12:11
16:30,12:11
15:52,12:10
15:49,11:10
15:12,11:10
15:08,11:9
14:53,11:9
13:28,11:9
12:57,10:9
12:06,10:8
11:37,9:8
10:59,9:8
10:51,9:8
10:09,8:8
09:55,8:8
09:52,8:7
09:47,8:7
09:14,8:7
09:06,8:7
08:33,8:7
08:22,8:6
07:46,7:6
07:38,7:5
07:30,7:5
06:59,7:5
06:50,6:5
06:18,6:5
06:09,5:5
05:39,5:4
05:33,4:4
05:25,4:4
04:41,3:4
04:11,3:3
03:41,3:3
03:14,3:3
03:08,3:3
02:36,3:3
02:29,2:3
02:21,2:2
02:11,1:2
02:01,1:1
01:02,1:1
00:50,1:0
