timestamp,score
60:00,28:25
59:32,28:25
58:37,28:25
58:09,28:25
56:47,28:24
56:31,27:24
56:02,27:23
56:02,27:23
55:35,27:23
55:09,27:22
54:45,26:22
54:45,26:22
54:41,26:22
54:27,26:21
54:13,26:21
53:12,25:21
53:06,25:20
52:34,25:20
51:57,25:20
51:22,24:20
50:50,24:19
50:17,24:19
49:02,24:19
48:43,24:18
47:46,23:18
46:57,23:17
46:07,23:17
46:01,23:17
45:21,23:16
44:54,22:16
44:08,22:16
43:03,22:16
41:44,22:15
41:40,21:15
41:07,21:15
40:44,21:15
40:08,20:15
39:39,20:15
38:46,20:15
38:14,19:15
37:00,19:15
36:57,19:15
36:42,19:15
36:39,19:15
35:51,19:14
35:42,19:14
35:00,19:13
34:54,19:13
34:43,19:13
33:57,19:13
33:25,19:12
32:32,19:12
32:00,19:12
31:22,19:12
31:10,19:11
30:00,18:11
29:54,18:11
29:25,18:10
29:19,18:10
28:41,18:10
27:45,17:10
27:13,17:10
26:40,16:10
26:33,16:10
26:01,15:10
25:06,15:10
24:36,14:10
24:34,14:9
24:09,14:9
23:16,14:9
22:18,14:8
22:13,13:8
21:34,13:8
20:51,13:8
20:15,13:7
19:05,12:7
18:25,12:6
18:23,11:6
18:14,11:6
18:10,10:6
17:36,10:6
17:25,9:6
16:53,9:5
16:50,8:5
16:20,8:5
15:51,8:5
15:31,7:5
15:31,7:4
14:31,7:4
14:14,7:4
12:36,7:4
12:24,7:4
12:19,7:4
11:48,7:4
11:44,6:4
11:35,6:4
10:55,5:4
10:26,5:4
10:20,5:4
09:49,5:4
09:13,5:4
09:01,5:3
08:22,5:3
07:53,5:3
07:36,5:3
07:30,5:3
07:15,5:3
06:29,5:3
05:57,5:2
05:04,4:2
04:24,4:2
04:20,3:2
03:55,3:2
03:36,2:2
03:02,2:1
02:13,1:1
01:56,1:0
01:13,0:0
