timestamp,score
59:58,26:22
59:32,26:22
58:50,25:22
58:35,25:22
58:09,25:21
57:09,25:21
56:45,25:21
56:15,25:21
55:48,25:21
55:25,25:20
54:52,25:20
54:46,25:20
54:26,25:20
53:50,25:20
53:44,25:20
53:11,25:20
52:44,24:20
51:14,24:19
50:48,23:19
50:03,23:19
49:36,23:19
48:48,23:19
47:43,22:19
47:23,22:18
47:23,22:18
46:35,22:18
46:24,22:18
45:03,22:18
44:49,21:18
43:57,21:17
42:58,21:17
41:42,21:17
41:09,21:17
40:29,21:17
40:16,21:17
39:36,20:17
39:02,20:17
38:54,20:17
38:42,20:16
38:08,20:16
37:31,20:15
36:53,19:15
36:18,19:14
35:41,18:14
35:16,18:13
35:15,18:13
35:09,17:13
34:39,17:13
33:48,16:13
33:35,16:13
33:12,16:13
32:12,16:13
31:53,16:13
31:41,16:13
31:18,16:13
31:08,15:13
30:36,15:13
30:00,15:13
29:37,15:13
29:07,14:13
28:38,14:13
28:00,14:12
27:11,14:12
27:11,14:12
26:19,14:12
25:08,14:12
25:00,13:12
24:18,13:12
23:34,13:12
23:20,13:11
22:28,12:11
21:14,12:10
20:39,11:10
20:08,11:10
20:01,10:10
19:18,10:10
19:12,10:9
18:33,10:9
18:06,9:9
17:58,9:8
17:02,9:8
16:49,9:8
16:16,9:8
15:51,8:8
15:14,8:8
15:07,7:8
14:45,7:8
13:42,7:8
12:51,7:8
12:17,6:8
11:37,6:7
10:58,5:7
10:36,5:6
10:11,5:6
09:24,5:6
09:15,5:6
09:06,5:5
08:52,5:5
08:10,5:5
07:30,4:5
06:20,4:4
06:07,4:4
05:24,3:4
04:48,3:4
04:36,3:4
04:02,3:4
03:48,3:3
03:40,2:3
03:07,2:3
02:51,1:3
02:05,1:2
01:58,1:2
01:45,1:1
01:08,0:1
