timestamp,score
69:54,27:26
69:32,27:25
68:37,26:25
68:13,26:25
67:11,26:25
66:56,26:25
66:20,25:25
65:52,25:25
65:32,25:25
64:33,25:25
63:20,25:25
63:00,25:24
62:25,24:24
62:14,24:24
61:27,23:24
60:29,23:23
60:00,23:23
60:00,23:23
59:40,23:23
58:52,23:23
58:34,23:22
58:19,23:22
57:51,23:22
57:12,23:21
56:39,23:21
56:27,23:21
55:38,22:21
55:19,22:20
54:50,22:20
54:38,21:20
53:59,21:20
53:55,21:19
53:17,21:19
52:26,21:18
52:06,21:18
51:38,21:18
51:02,20:18
50:28,20:17
50:28,20:17
50:19,20:17
49:44,19:17
49:33,19:16
48:52,19:16
48:48,19:15
48:23,19:15
47:59,19:15
47:56,19:14
47:05,19:14
46:18,19:13
45:24,18:13
45:14,18:13
45:08,18:13
44:49,18:13
44:37,18:13
43:42,17:13
43:28,17:12
43:10,17:12
43:01,17:12
41:38,17:12
41:25,16:12
40:40,16:12
40:27,16:11
40:00,15:11
38:57,15:11
38:46,15:10
38:16,15:10
37:22,15:10
37:18,15:9
37:02,15:9
36:19,14:9
35:45,14:9
35:39,13:9
34:58,13:9
34:46,12:9
33:27,12:9
33:01,12:9
32:18,12:9
31:22,12:9
31:01,12:9
30:00,12:8
29:39,12:8
28:56,12:8
28:39,12:8
27:55,11:8
27:13,11:8
26:23,11:8
25:48,10:8
25:46,10:7
25:40,10:7
25:30,10:7
24:58,10:7
24:07,10:7
23:48,9:7
23:35,9:6
23:24,8:6
22:47,8:6
21:18,8:6
20:30,8:5
19:54,8:5
18:49,7:5
18:20,7:5
18:20,7:5
18:16,6:5
17:30,6:5
17:16,5:5
16:36,5:5
16:00,5:5
15:48,4:5
15:41,4:5
14:37,4:5
13:35,3:5
12:48,3:5
11:54,2:5
11:35,2:4
11:18,2:4
11:08,2:4
10:21,2:4
09:43,2:4
08:35,2:4
07:59,2:3
07:53,1:3
06:45,1:3
06:29,0:3
05:34,0:2
05:11,0:2
03:37,0:2
03:33,0:1
03:20,0:1
02:58,0:0
01:59,0:0
01:41,0:0
00:39,0:0
