timestamp,score
59:59,22:26
59:46,22:25
59:32,22:25
59:17,22:25
59:15,22:25
59:07,22:25
58:55,22:25
58:33,22:25
58:16,22:25
58:00,22:25
57:49,21:25
57:45,21:25
56:15,21:25
55:57,21:24
55:50,21:24
55:32,21:24
54:35,20:24
54:23,20:23
53:51,19:23
53:26,19:22
53:16,19:22
53:00,19:22
52:09,19:22
52:00,19:22
51:29,19:21
51:18,19:21
50:51,19:20
50:31,19:20
50:04,19:19
49:43,19:19
48:47,19:19
48:32,19:19
48:02,19:19
47:51,18:19
47:15,18:18
46:18,18:18
45:58,18:18
45:42,18:18
45:33,18:18
44:38,18:18
43:52,18:17
43:10,17:17
43:03,17:17
42:55,17:17
42:51,17:17
42:27,17:17
41:56,16:17
40:18,16:17
39:21,15:17
38:43,15:17
38:22,14:17
38:09,14:17
37:29,14:16
36:58,13:16
36:14,13:16
36:05,12:16
35:35,12:16
35:01,12:16
34:55,12:15
34:13,12:15
33:47,12:15
33:34,12:14
33:07,11:14
33:07,11:14
32:56,11:14
32:15,10:14
31:57,10:13
31:07,10:13
30:22,9:13
30:00,9:12
30:00,9:12
29:55,9:12
29:46,9:12
29:14,9:12
28:50,9:12
28:06,9:12
27:45,9:12
27:14,9:12
26:37,9:11
26:22,9:11
25:45,8:11
25:21,8:10
25:15,7:10
25:02,7:10
24:30,6:10
24:30,6:10
24:11,6:10
23:55,6:10
23:52,6:10
23:18,6:9
22:35,6:9
22:30,6:9
22:17,6:9
22:12,6:8
21:02,6:8
20:29,6:8
20:14,6:8
19:39,6:8
19:30,6:7
19:03,6:7
19:03,6:7
18:58,6:7
18:37,6:7
17:54,6:7
17:21,6:7
17:10,6:7
16:15,6:7
16:07,6:7
15:21,6:7
15:13,6:7
14:39,6:7
14:21,6:6
14:05,6:6
14:03,6:6
13:46,6:6
13:13,6:6
13:11,6:6
12:35,5:6
12:22,5:6
12:13,5:6
11:57,5:5
11:30,5:5
11:22,5:5
11:09,5:5
10:24,5:5
09:30,5:5
09:25,5:4
08:48,5:4
08:28,5:4
08:04,5:4
07:32,5:4
07:24,5:4
06:46,5:4
06:11,5:3
05:53,4:3
05:46,4:3
05:28,4:3
05:15,4:3
05:05,4:2
04:58,3:2
04:36,3:2
04:21,3:2
04:17,2:2
03:59,2:2
03:44,2:2
03:31,2:2
03:09,2:1
02:19,1:1
01:44,1:0
01:21,1:0
