timestamp,score
59:51,20:22
59:23,20:22
59:23,20:21
59:04,20:21
58:08,19:21
57:31,19:20
56:26,18:20
56:02,18:19
55:14,18:19
53:47,18:18
53:11,17:18
52:47,17:17
52:42,17:17
51:51,17:17
51:20,17:16
50:48,16:16
49:48,16:16
49:18,15:16
48:39,15:16
48:26,14:16
48:14,14:16
47:59,13:16
47:51,13:16
47:07,13:15
46:51,13:15
45:57,13:14
45:17,13:14
44:47,13:14
44:31,13:13
43:57,13:13
43:53,13:12
43:35,13:12
42:12,13:12
41:02,13:12
40:29,13:12
39:49,13:12
39:16,13:12
37:48,13:12
37:39,13:11
36:33,13:11
36:26,13:10
35:58,13:10
34:58,13:10
34:40,13:9
34:38,13:9
34:19,13:9
34:06,13:9
33:24,13:9
33:16,13:8
32:39,12:8
31:54,12:8
31:04,12:8
30:00,12:8
29:34,12:8
28:44,12:8
28:44,12:8
28:28,12:7
27:54,11:7
27:24,11:7
26:14,11:6
25:07,10:6
25:07,10:6
25:07,9:6
24:43,9:6
23:58,8:6
23:30,8:6
23:04,7:6
22:48,7:6
22:16,6:6
21:58,5:6
21:11,5:6
20:46,4:6
19:40,4:6
19:02,4:5
18:44,4:5
18:05,4:4
17:24,4:4
16:59,3:4
16:20,3:4
15:51,3:3
15:34,3:3
14:23,3:3
13:58,3:3
12:23,3:3
11:28,3:3
10:39,3:3
09:52,3:2
09:04,3:2
08:49,3:2
08:23,2:2
08:05,2:1
06:38,2:1
05:42,2:0
05:19,2:0
04:15,2:0
03:53,2:0
03:24,2:0
01:56,1:0
01:30,1:0
00:47,0:0
00:36,0:0
00:18,0:0
