timestamp,score
59:49,34:19
59:13,33:19
58:59,33:18
58:54,32:18
58:47,32:18
57:34,32:18
57:13,32:17
57:11,32:17
57:01,32:17
56:50,32:17
56:33,32:17
55:57,31:17
55:23,31:17
55:20,30:17
54:38,30:17
54:07,30:17
53:57,29:17
53:48,29:16
53:26,29:16
52:20,29:16
51:35,28:16
51:03,28:15
50:00,28:15
49:56,28:15
49:30,28:15
49:26,28:15
48:49,28:15
48:14,28:15
48:07,28:15
47:32,28:15
47:24,28:14
46:59,28:14
46:41,27:14
46:19,27:14
46:03,27:14
46:00,27:14
45:10,27:14
44:59,26:14
44:27,26:14
43:41,25:14
43:37,24:14
43:02,24:14
43:02,24:14
43:02,24:14
42:53,23:14
42:06,23:14
41:59,22:14
41:48,22:14
41:30,22:13
40:53,22:13
39:47,22:13
39:23,22:13
38:41,22:13
38:26,21:13
38:17,21:13
37:20,21:12
36:36,20:12
36:26,20:12
35:48,20:12
35:38,20:11
35:23,20:11
35:04,20:11
34:52,20:11
34:48,20:11
34:28,20:11
34:20,20:11
33:51,20:11
33:04,20:11
32:59,20:11
32:49,20:11
32:24,20:11
31:48,19:11
30:50,19:11
30:41,18:11
30:00,18:11
29:42,18:11
29:05,17:11
28:40,17:10
28:22,16:10
28:20,16:10
27:46,16:10
27:15,16:10
26:45,16:10
26:13,16:10
25:35,15:10
25:03,15:10
24:57,14:10
24:41,14:10
24:33,13:10
23:59,13:10
23:13,12:10
23:13,13:9
22:31,12:9
22:28,12:9
22:18,12:9
21:03,12:9
20:40,11:9
19:32,11:9
19:07,11:9
18:27,11:9
17:45,11:9
17:16,11:8
16:40,10:8
16:13,10:7
15:31,9:7
14:46,9:6
14:32,8:6
14:16,8:5
13:38,7:5
13:18,7:5
13:02,7:5
12:51,7:5
11:54,6:5
11:48,6:4
10:51,6:4
10:46,6:4
10:01,6:4
09:48,6:3
08:57,6:3
08:46,6:3
08:28,6:3
08:05,6:2
07:31,6:2
07:22,6:2
07:05,5:2
07:00,5:1
06:32,5:1
05:48,5:1
04:53,4:1
04:42,4:0
04:34,3:0
03:58,3:0
03:48,3:0
03:38,3:0
03:29,3:0
02:57,2:0
02:51,2:0
02:40,2:0
01:53,2:0
01:15,1:0
00:39,1:0
