timestamp,score
59:58,37:33
59:46,37:33
59:07,37:32
58:53,36:32
58:39,36:31
58:13,36:31
57:36,36:31
57:23,35:31
57:20,35:30
56:48,35:30
56:39,35:29
56:15,35:29
55:40,35:28
54:44,35:28
54:07,35:28
53:30,34:28
53:18,34:27
52:42,34:27
52:27,34:27
51:46,34:27
51:45,33:27
50:53,33:27
50:37,32:27
50:34,32:27
50:06,32:27
49:17,32:27
48:49,32:27
48:15,32:27
47:43,32:26
47:12,32:26
47:08,32:26
46:37,32:26
46:35,31:26
46:21,31:26
45:11,30:26
44:29,30:25
43:46,29:25
43:02,29:24
42:35,28:24
42:30,28:23
42:05,28:23
42:03,28:23
41:13,28:23
41:04,28:22
40:32,28:22
40:28,28:22
39:49,28:22
39:25,27:22
38:49,27:21
38:38,27:21
38:00,27:21
38:00,27:21
37:32,27:21
37:11,27:20
36:37,27:20
36:26,27:20
35:57,27:19
35:30,26:19
35:15,26:19
34:46,26:18
34:07,25:18
33:51,25:18
33:41,25:17
33:16,25:17
32:39,25:16
32:37,24:16
31:53,24:16
31:43,24:16
31:19,24:16
30:48,24:16
30:27,23:16
30:00,23:16
29:44,22:16
29:14,22:15
28:50,21:15
28:38,21:15
28:10,21:15
27:59,21:14
26:54,21:14
26:30,20:14
26:22,20:14
25:53,20:14
25:27,20:13
25:19,20:13
25:09,20:13
25:01,20:13
24:23,20:13
24:15,20:13
24:03,20:13
23:02,20:12
22:47,19:12
22:35,19:12
22:09,18:12
21:26,18:11
21:04,18:11
20:32,18:11
20:04,18:10
19:30,17:10
19:27,17:10
19:24,17:10
19:04,17:10
18:42,17:10
18:39,16:10
18:25,16:10
18:01,16:10
17:44,16:11
17:08,16:10
15:53,16:10
15:51,15:10
14:45,15:10
14:42,15:10
14:27,15:10
14:00,14:10
13:34,14:9
13:29,14:9
13:07,13:9
13:05,13:8
12:32,13:8
12:05,12:8
11:38,12:7
11:29,11:7
10:48,11:7
10:46,10:7
10:29,10:7
10:20,10:7
09:58,10:7
09:55,9:7
09:24,9:7
08:42,8:7
08:04,8:6
07:39,7:6
06:48,7:5
06:21,6:5
05:50,6:4
05:25,5:4
04:50,5:3
04:31,5:3
04:28,4:3
04:16,4:3
03:57,3:3
03:51,3:2
03:37,3:2
03:24,3:2
03:13,3:1
02:54,2:1
02:18,2:0
02:07,2:0
01:55,2:0
01:28,1:0
00:57,1:0
00:43,1:0
00:27,0:0
