timestamp,score
59:57,26:35
59:55,26:34
59:43,26:34
59:26,26:33
59:16,25:33
59:10,25:33
58:39,25:33
57:46,25:32
57:34,25:32
57:19,25:32
56:35,25:32
56:03,25:32
55:22,24:32
54:59,24:31
54:34,23:31
54:11,23:30
53:46,23:30
53:31,23:30
53:13,23:29
53:06,22:29
52:11,22:29
52:07,21:29
51:44,21:29
51:12,20:29
50:44,20:28
50:26,20:28
49:46,20:28
49:46,20:28
49:32,20:27
48:09,20:27
47:44,20:26
46:37,20:26
46:09,20:26
45:44,19:26
45:12,19:26
44:15,18:26
44:15,18:25
44:06,18:25
43:50,18:25
43:33,18:25
43:12,18:25
43:07,18:24
43:03,18:24
42:32,18:24
42:04,18:24
41:48,18:23
41:29,18:23
41:19,18:23
41:18,18:23
41:10,18:23
40:59,18:23
40:20,17:23
40:14,17:22
39:59,17:22
39:43,17:22
39:27,17:22
39:12,17:22
38:56,16:22
38:38,16:21
38:22,15:21
37:50,15:20
37:25,14:20
37:18,14:19
36:38,14:19
36:17,14:19
36:03,14:19
35:42,14:19
34:58,14:19
34:37,14:19
34:11,14:18
33:34,14:18
32:34,14:18
32:01,14:18
31:32,14:18
31:15,14:18
30:45,13:18
30:30,13:18
30:12,13:18
29:43,13:18
29:24,13:18
28:58,12:18
28:48,12:18
28:32,12:18
27:36,12:17
27:06,12:17
26:37,12:16
26:29,12:16
26:03,11:16
25:31,11:16
25:18,11:15
24:44,11:15
24:32,11:14
24:09,11:14
23:27,11:14
23:09,11:14
22:37,10:14
22:25,10:13
21:59,9:13
21:56,9:12
21:13,9:12
20:50,9:11
20:13,8:11
19:55,8:11
18:57,8:11
18:50,8:11
18:32,8:11
18:32,8:11
17:50,8:10
17:29,8:10
17:24,8:10
16:57,8:10
16:20,8:10
16:06,8:10
15:54,8:10
15:49,8:9
15:29,8:9
14:56,8:8
14:32,8:8
14:23,8:8
14:03,8:8
13:42,8:8
13:32,8:8
13:05,8:8
12:56,8:8
12:37,8:8
12:22,8:8
12:09,8:8
11:06,8:8
10:44,8:7
10:16,8:7
09:51,8:6
09:27,7:6
09:12,7:5
08:46,6:5
08:29,6:4
08:26,6:4
07:45,5:4
07:17,5:3
07:05,4:3
06:37,4:3
06:16,4:3
06:05,4:2
05:15,3:2
04:46,3:2
04:21,2:2
04:18,2:1
03:31,2:1
03:11,2:1
02:48,2:0
02:28,1:0
01:58,1:0
01:18,1:0
00:50,1:0
00:45,1:0
