timestamp,score
59:27,36:23
59:23,36:22
59:14,36:22
59:00,36:22
58:19,35:22
58:14,35:21
58:03,35:21
57:48,35:21
57:32,35:21
56:53,35:21
56:43,35:21
56:14,35:21
56:05,34:21
55:26,34:20
55:01,34:20
54:29,34:19
54:27,34:19
53:39,33:19
53:19,33:19
53:07,32:19
53:02,32:19
52:40,32:18
51:53,32:18
51:51,32:18
51:26,32:18
51:15,32:18
50:09,32:18
49:21,32:18
48:59,32:18
48:50,31:18
48:39,31:18
48:19,31:18
48:01,31:18
47:40,31:17
47:29,30:17
47:10,30:16
46:44,29:16
46:10,29:15
45:58,28:15
45:18,28:15
45:04,27:15
43:35,27:15
43:35,26:15
43:35,26:15
43:35,26:15
43:35,26:15
43:26,26:15
43:21,25:15
43:04,25:15
42:33,24:15
42:23,24:15
42:08,24:15
41:45,24:14
41:11,23:14
40:29,23:14
40:16,22:14
39:38,22:14
38:30,22:14
37:55,21:14
37:41,21:14
36:55,21:14
36:21,21:14
36:02,21:14
34:52,21:13
34:38,20:13
34:21,20:13
33:33,20:13
33:05,20:13
32:29,20:13
31:44,19:13
30:11,19:12
29:59,18:12
29:42,18:12
29:06,18:11
28:34,18:11
28:12,18:11
27:21,18:11
27:21,18:10
27:21,17:10
27:14,17:10
26:37,17:9
26:22,16:9
25:50,16:9
25:11,16:9
25:00,16:9
24:19,16:8
23:48,15:8
23:15,15:7
22:56,14:7
22:43,14:7
22:39,14:7
22:08,14:7
21:30,14:7
21:08,14:7
20:22,14:7
20:15,14:7
20:00,14:7
19:42,13:7
19:29,13:6
19:24,12:6
18:43,12:6
18:30,12:5
18:17,12:5
18:02,12:5
17:43,12:4
17:31,12:4
17:08,12:4
17:01,11:4
16:29,11:4
16:11,10:4
15:27,10:4
15:19,9:4
14:40,9:4
14:32,9:4
14:07,9:4
14:03,9:3
13:44,9:3
12:51,9:3
11:43,9:3
11:20,8:3
11:15,8:3
10:45,8:3
10:32,8:3
10:14,8:3
10:01,8:3
09:24,8:3
08:59,7:3
08:23,7:2
07:54,6:2
07:41,6:1
07:26,6:1
07:10,6:1
06:59,6:1
06:46,5:1
06:07,5:0
04:59,5:0
04:59,4:0
04:59,4:0
04:59,3:0
04:36,3:0
04:12,3:0
03:29,3:0
03:07,2:0
02:38,2:0
01:46,2:0
01:38,1:0
00:53,1:0
00:49,0:0
