timestamp,score
25:49,14:10
25:40,14:9
25:06,14:9
24:40,14:9
24:24,14:9
23:27,14:9
23:24,13:9
22:48,13:9
22:16,13:9
21:58,13:9
21:43,12:9
21:34,12:9
20:25,12:9
19:38,11:9
18:56,11:8
18:16,11:8
18:08,11:8
17:37,11:7
17:09,10:7
16:58,10:7
16:47,10:7
16:33,10:7
16:30,10:7
15:50,9:7
15:50,9:7
15:34,9:7
14:54,8:7
14:32,8:7
13:39,8:7
13:13,8:6
12:16,7:6
12:04,7:5
11:52,7:5
11:30,6:5
10:53,6:4
09:59,5:4
09:52,5:3
08:47,5:3
08:31,5:3
07:49,5:3
06:25,5:3
06:20,4:3
05:46,4:3
05:20,3:3
04:50,3:3
04:23,2:3
03:55,2:2
03:24,2:2
02:50,2:1
02:16,2:1
02:05,2:1
02:03,1:1
01:13,1:1
00:49,0:1
