timestamp,score
60:00,23:33
59:16,23:33
58:40,23:32
57:21,22:32
56:44,21:32
56:37,21:32
56:26,21:32
55:46,21:32
55:38,21:32
55:20,21:32
55:03,21:32
54:26,21:32
53:54,21:32
53:18,21:32
53:18,21:32
52:52,21:32
52:46,21:32
51:50,21:32
51:39,21:32
51:17,21:32
50:41,21:32
50:32,21:32
50:23,21:32
49:58,21:32
49:50,21:32
49:31,21:32
49:13,21:32
48:36,21:32
48:23,21:32
47:42,21:32
46:54,21:31
46:34,21:31
46:27,20:31
46:19,20:31
45:31,20:31
45:02,20:30
44:11,19:30
43:52,19:30
43:23,19:30
43:02,19:30
42:31,19:29
42:00,19:29
41:35,19:29
41:19,18:29
41:06,18:29
40:56,18:29
40:35,18:29
40:18,18:29
39:50,18:29
39:24,18:28
39:17,17:28
39:01,17:28
38:11,17:28
37:47,17:27
36:32,16:27
36:22,16:27
36:18,15:27
36:03,15:27
35:54,15:27
35:38,14:27
35:32,14:27
35:13,14:27
35:10,14:26
34:51,14:26
34:41,13:26
34:23,13:25
33:47,12:25
33:41,12:25
33:26,12:25
32:49,12:25
32:43,12:25
32:30,12:25
32:14,12:24
31:55,12:24
31:54,12:24
31:19,12:23
31:16,11:23
30:56,11:23
30:46,11:23
30:00,11:23
29:58,11:23
29:50,11:23
29:24,11:22
29:07,11:22
29:00,11:22
28:22,11:22
27:23,11:22
26:43,11:21
26:09,10:21
25:57,10:21
25:26,10:21
25:07,10:21
24:53,10:20
24:40,10:20
24:13,10:20
23:46,10:20
23:15,10:20
23:11,10:20
23:07,9:20
22:41,9:20
22:30,9:19
22:17,9:19
22:10,9:18
21:44,8:18
21:33,8:18
20:52,8:17
20:26,7:17
20:09,7:17
19:42,7:17
19:35,7:16
19:04,7:16
18:59,7:15
18:12,7:15
18:05,7:15
18:01,7:15
17:35,7:15
16:56,7:15
16:51,7:15
15:58,6:15
15:49,6:14
15:25,6:14
15:18,6:14
15:06,6:14
14:54,6:13
14:20,6:13
14:12,6:12
13:49,6:12
13:43,6:12
13:36,6:11
13:26,6:11
13:19,6:11
12:59,6:11
12:54,6:10
12:18,6:10
12:11,6:10
11:50,6:10
11:41,6:9
11:20,6:9
11:13,6:8
10:55,6:8
10:49,6:7
10:31,6:7
10:27,6:6
10:20,6:6
10:05,6:6
09:11,6:6
09:02,6:5
08:32,5:5
08:19,5:4
07:22,5:4
07:01,5:4
06:36,5:4
06:19,5:3
05:47,4:3
05:14,4:3
05:11,3:3
05:06,3:3
04:59,3:3
04:41,3:3
04:13,2:3
04:00,2:2
03:35,2:2
03:30,2:1
03:17,2:1
03:10,2:1
02:55,1:1
02:27,1:0
02:24,1:0
01:41,1:0
01:18,1:0
01:09,0:0
00:33,0:0
00:22,0:0
