timestamp,score
59:47,22:32
58:55,22:32
58:29,22:31
58:14,22:30
57:47,22:29
57:39,22:29
56:51,22:29
56:28,21:29
56:22,21:29
56:03,21:28
56:01,21:28
55:36,20:28
55:16,20:28
55:04,20:28
54:27,20:28
53:48,19:28
52:42,18:28
52:18,17:28
51:24,17:28
51:09,16:28
50:27,16:28
49:58,16:28
49:14,16:27
49:05,16:26
49:02,16:26
48:08,15:26
47:26,15:25
46:40,15:25
46:02,15:25
45:46,15:25
45:40,15:25
45:07,15:25
44:47,15:24
44:35,15:24
43:40,15:23
43:24,15:23
42:55,15:22
42:05,14:22
41:23,14:21
41:14,13:21
41:06,13:21
40:49,13:20
39:57,13:20
39:25,13:20
39:14,12:20
38:51,12:20
37:59,12:20
37:53,12:20
37:04,12:20
36:30,12:20
36:12,12:20
36:08,12:19
34:53,12:19
34:09,12:18
33:15,11:18
33:01,11:17
32:39,11:17
32:26,11:17
31:54,11:17
31:40,11:17
30:18,11:17
29:53,11:17
29:40,11:17
28:59,10:17
28:43,10:17
28:35,10:17
28:11,10:17
27:27,9:17
27:12,9:17
26:36,8:17
26:05,8:16
25:44,8:15
25:05,8:15
23:36,8:15
23:19,8:14
23:05,8:14
22:58,8:14
22:37,8:14
22:29,8:13
21:39,8:13
21:35,8:13
21:08,8:12
20:43,8:12
20:38,8:11
20:23,8:11
20:05,8:10
19:13,8:10
18:57,8:10
18:57,8:10
18:45,8:10
18:18,8:10
18:15,8:9
17:22,8:9
17:12,8:9
16:15,8:9
16:03,8:9
15:55,8:8
15:42,8:8
15:24,8:8
14:46,8:8
13:58,8:8
13:54,8:7
13:08,8:7
12:52,8:6
12:20,8:6
12:10,8:6
11:55,8:6
11:55,8:6
11:44,7:6
11:29,7:6
10:47,6:6
10:28,6:5
09:14,6:5
09:01,6:5
08:31,5:5
08:20,5:4
07:59,5:4
07:54,5:4
07:21,5:4
06:10,5:3
05:58,5:2
05:21,4:2
05:07,4:1
04:50,3:1
04:41,3:1
03:30,3:0
03:04,2:0
02:54,2:0
02:18,2:0
02:13,1:0
01:21,1:0
