timestamp,score
59:58,27:33
59:51,27:33
59:29,27:33
59:10,27:32
59:08,27:32
58:54,27:32
58:46,27:32
58:23,27:32
58:04,27:32
57:42,27:32
57:22,27:31
57:18,26:31
57:00,26:31
56:55,26:31
56:22,26:30
56:15,26:30
55:49,26:30
55:25,26:30
55:11,25:30
54:35,25:29
53:59,24:29
53:55,24:28
53:41,24:28
53:03,24:27
52:56,23:27
52:47,23:27
52:38,23:27
52:33,23:27
52:12,23:27
52:10,22:27
51:42,22:27
51:36,21:27
51:21,21:27
51:18,21:27
51:05,20:27
50:32,20:27
49:54,19:27
49:48,19:26
49:24,19:26
49:20,19:25
49:08,19:25
48:16,19:25
48:11,18:25
47:59,18:25
47:49,18:25
47:31,18:25
47:05,18:25
46:50,18:24
46:11,17:24
46:06,17:23
45:51,17:23
45:22,17:22
44:49,17:22
44:40,17:22
44:19,17:21
44:11,16:21
43:33,16:21
43:09,16:21
42:47,16:20
42:01,16:20
41:33,16:19
41:00,15:19
40:51,15:18
40:03,15:18
39:08,15:17
38:53,14:17
38:25,14:17
37:50,14:17
37:28,14:17
37:05,14:17
36:42,14:17
36:31,13:17
35:15,13:16
35:05,12:16
34:39,12:16
34:30,12:16
34:21,12:16
33:45,12:16
33:38,12:15
33:14,12:15
32:56,12:15
32:24,12:15
32:05,12:15
31:11,11:15
30:55,11:15
30:31,11:15
30:00,11:15
29:54,11:14
29:30,11:14
29:28,11:13
29:02,11:13
28:56,11:13
28:40,11:13
28:13,11:13
27:54,11:12
27:30,10:12
26:35,10:12
26:09,10:12
25:52,10:12
25:42,9:12
25:02,9:11
24:42,9:11
24:19,9:10
24:12,8:10
23:51,8:10
23:29,8:10
22:33,8:10
21:48,8:9
21:44,8:9
21:10,8:9
20:58,8:9
20:24,8:8
20:06,7:8
19:55,7:7
19:22,7:7
19:12,7:7
18:12,7:7
17:49,7:7
17:46,6:7
17:15,6:7
16:37,6:7
16:05,5:7
15:54,5:6
15:06,5:6
15:02,5:5
14:56,5:5
14:28,5:5
12:54,5:5
12:49,4:5
12:24,4:5
12:11,3:5
11:45,3:5
11:18,2:5
10:54,2:5
10:41,2:5
09:52,2:5
09:31,2:5
09:05,2:5
09:00,2:5
08:41,2:4
07:57,2:4
07:06,2:4
06:42,2:4
06:36,2:3
06:17,2:3
06:09,2:2
05:37,2:2
05:24,2:2
05:17,2:2
05:00,2:2
04:34,2:2
04:21,2:1
04:00,2:1
03:24,2:1
02:55,2:1
02:15,2:1
01:37,2:1
01:22,2:1
01:00,1:1
00:45,1:0
00:39,0:0
00:29,0:0
