timestamp,score
60:00,33:23
59:55,32:23
59:39,32:23
59:14,31:23
59:05,31:22
58:35,31:22
58:27,31:21
58:03,31:21
58:00,31:21
57:27,31:21
56:31,31:21
56:24,31:20
56:06,31:20
55:11,31:19
54:44,30:19
54:36,30:19
54:09,30:19
53:57,30:19
53:28,30:19
52:00,30:18
51:39,29:18
51:10,29:18
50:58,29:18
50:36,29:18
50:12,29:18
49:30,29:18
49:22,29:17
49:03,29:17
48:52,29:17
48:36,29:17
47:49,29:16
47:13,29:16
46:51,29:16
46:51,28:16
46:46,28:16
45:55,28:16
45:52,28:16
45:43,28:16
45:27,28:16
44:44,28:16
44:13,28:16
43:46,27:16
43:22,27:16
43:18,26:16
43:09,26:16
42:53,26:16
42:44,26:16
42:23,26:16
42:13,26:16
41:46,26:16
41:26,26:15
41:24,26:15
40:45,26:15
40:00,26:15
39:57,26:14
39:46,26:14
39:10,26:14
38:31,26:14
38:24,26:14
37:51,26:13
37:28,25:13
37:16,25:12
37:08,25:12
36:45,25:12
36:34,24:12
35:44,24:12
35:35,23:12
35:15,23:12
35:09,22:12
34:59,22:12
34:52,22:12
34:18,22:12
34:16,22:12
34:10,21:12
33:44,21:12
33:33,21:12
32:38,21:12
32:06,21:12
31:50,21:11
31:26,20:11
31:15,20:10
30:40,20:10
29:59,20:10
29:35,19:10
29:24,19:9
29:15,19:9
28:58,19:9
28:01,19:9
27:43,19:9
27:14,18:9
27:01,18:8
26:56,18:8
26:41,18:8
25:48,17:8
25:01,17:7
24:49,17:7
24:38,17:7
24:31,17:7
23:35,17:7
23:28,17:7
23:09,17:7
22:36,17:7
21:46,17:7
21:43,16:7
21:29,16:7
21:21,16:7
21:02,16:7
20:37,16:7
19:59,16:6
19:49,15:6
18:57,15:6
18:51,14:6
18:45,14:6
18:31,14:6
18:06,14:6
18:02,14:5
17:33,14:5
17:19,14:4
16:51,13:4
16:09,13:4
15:33,12:4
14:44,12:4
14:35,11:4
14:20,11:4
13:56,11:4
13:43,11:4
13:35,10:4
13:00,10:4
12:38,10:4
12:32,9:4
11:57,9:4
11:52,8:4
11:21,8:4
11:16,7:4
10:33,7:4
10:30,6:4
10:03,6:4
09:25,6:4
09:18,5:4
09:16,5:4
08:48,5:4
08:15,5:3
08:12,5:3
07:56,5:3
07:15,5:3
07:10,5:2
06:55,5:2
06:24,5:2
05:34,4:2
05:02,4:2
04:49,3:2
04:36,3:1
04:02,3:1
03:50,2:1
02:59,2:1
02:49,1:1
02:30,1:1
02:07,1:1
01:40,1:1
01:33,1:1
01:28,1:0
00:56,1:0
00:33,1:0
