timestamp,score
59:57,29:22
59:51,29:21
59:39,29:21
59:34,29:20
59:20,29:20
59:03,29:20
58:41,29:20
58:31,29:20
57:05,29:19
56:05,28:19
56:00,28:18
55:50,28:18
54:44,27:18
54:17,27:18
53:25,27:18
53:21,27:18
52:37,27:18
52:18,27:18
52:18,27:18
51:48,26:18
51:33,26:18
51:01,26:18
50:14,25:18
49:28,25:18
49:07,24:18
48:41,24:17
48:17,24:17
48:05,23:17
47:38,23:17
47:09,23:17
46:46,23:17
46:11,22:17
46:07,22:16
46:07,22:16
45:45,22:16
45:19,21:16
45:12,21:16
44:30,21:16
44:25,21:16
43:55,21:16
43:00,21:15
42:50,21:15
42:30,21:14
41:58,20:14
41:34,20:13
40:44,20:13
40:22,20:13
39:51,19:13
39:31,19:13
38:46,19:13
38:31,19:13
38:03,19:13
37:37,18:13
37:37,18:13
37:24,18:13
36:31,18:13
36:25,17:13
35:46,17:13
35:07,17:13
34:40,17:12
34:17,17:12
33:51,17:12
33:19,17:11
32:56,17:11
32:50,17:10
32:26,17:10
32:00,17:10
31:46,2:1
31:13,17:10
31:04,16:10
30:49,16:10
30:25,15:10
29:58,15:9
29:37,15:9
29:13,14:9
29:02,14:9
28:37,14:8
28:32,14:8
27:46,14:8
27:14,13:8
26:18,13:8
25:33,13:8
25:18,13:8
24:58,13:8
24:56,13:8
24:38,13:8
24:32,13:8
23:52,13:8
23:33,13:8
23:04,13:7
23:03,12:7
22:31,12:7
22:17,12:7
21:51,12:7
21:33,12:7
21:18,12:7
21:04,11:7
20:32,11:7
20:18,11:6
19:40,10:6
19:34,10:6
19:22,10:6
18:15,10:6
17:52,9:6
17:43,9:6
17:33,9:6
17:17,9:6
16:36,9:6
16:28,9:6
15:47,8:6
15:30,8:5
15:00,8:5
14:56,8:4
14:48,8:4
14:33,8:4
14:10,8:4
13:45,8:4
13:25,8:4
13:04,8:3
13:04,8:3
12:32,7:3
12:06,7:3
12:04,7:3
11:41,7:3
11:32,7:3
10:47,7:3
10:39,6:3
10:01,6:3
09:53,5:3
09:38,5:3
09:34,5:3
09:11,5:3
09:06,5:3
08:56,5:3
08:54,5:3
08:20,5:3
08:10,4:3
08:08,4:3
07:35,4:3
07:31,4:3
07:23,4:3
07:00,4:3
06:54,4:3
05:54,4:3
05:22,3:3
05:16,3:3
04:43,3:3
04:37,3:3
03:45,3:3
03:29,3:2
02:28,2:2
01:40,2:1
01:35,2:1
01:19,2:1
01:09,1:1
00:58,1:0
00:29,1:0
