timestamp,score
60:00,53:13
59:40,53:13
59:20,52:13
59:12,51:13
58:58,51:13
58:54,51:13
58:25,51:13
57:56,51:13
57:40,50:13
57:29,49:13
56:45,49:12
56:37,48:12
56:32,48:12
55:56,48:11
55:14,47:11
54:47,46:11
54:37,46:11
54:11,45:11
53:36,44:11
53:15,43:11
52:29,43:11
52:29,43:11
52:17,42:11
51:59,42:11
50:54,41:11
50:50,41:11
49:50,40:11
49:19,40:11
48:08,39:11
47:56,38:11
47:30,38:11
46:57,37:11
46:27,36:11
45:54,36:11
45:10,35:11
44:30,34:11
43:54,34:11
43:48,33:11
43:16,33:11
43:05,33:11
42:34,33:10
40:59,32:10
40:13,31:10
40:10,31:10
39:32,31:10
39:26,30:10
39:20,30:10
39:12,29:10
38:39,29:10
38:23,28:10
38:15,28:9
36:57,28:9
36:41,28:9
36:31,28:9
36:01,28:8
35:42,28:8
35:29,28:8
34:48,27:8
34:36,27:8
33:58,27:8
33:53,26:8
33:26,26:8
32:21,26:8
32:09,26:8
32:02,25:8
30:56,25:8
30:39,25:8
29:59,25:8
28:48,25:7
28:39,24:7
27:57,24:6
27:43,24:6
27:35,23:6
26:25,23:6
26:19,22:6
25:55,22:6
24:43,21:6
23:45,21:6
23:36,20:6
23:13,20:5
22:03,20:4
20:33,19:4
20:11,18:4
18:58,18:4
18:58,17:4
18:21,17:4
17:28,17:3
17:13,16:3
17:06,15:3
16:07,15:3
15:38,14:3
15:18,13:3
14:54,13:3
13:59,12:3
13:26,12:3
13:16,11:3
12:28,11:3
12:00,11:3
11:26,11:2
11:19,10:2
10:56,10:1
10:48,10:1
10:36,9:1
10:24,9:1
09:47,8:1
09:06,8:1
08:36,7:1
08:23,7:1
07:57,7:1
07:25,7:1
07:17,7:1
06:45,7:1
06:10,6:1
05:28,6:1
05:03,6:0
04:27,6:0
04:20,5:0
04:08,5:0
03:36,4:0
03:02,4:0
02:36,4:0
02:29,3:0
02:11,3:0
01:25,3:0
00:51,2:0
00:40,1:0
00:32,1:0
