timestamp,score
59:53,43:15
59:53,43:14
59:42,43:14
59:35,42:14
58:29,42:14
58:28,41:15
57:59,41:14
57:16,41:14
57:06,40:14
56:54,40:14
56:17,39:14
55:56,39:14
55:29,38:14
55:16,38:13
54:46,38:13
54:12,38:13
54:07,37:13
53:20,37:13
53:15,36:13
52:44,36:13
52:37,35:13
51:10,35:13
51:06,34:13
50:40,34:13
50:28,34:13
50:22,33:13
49:45,33:13
49:33,33:13
49:06,33:12
48:52,33:12
48:40,32:12
48:34,32:11
48:23,31:11
48:10,31:11
48:04,31:11
47:57,31:11
47:28,31:11
47:19,30:11
47:10,30:11
47:01,30:11
46:50,30:10
46:41,29:10
45:57,29:9
45:41,29:9
45:32,29:9
44:54,28:9
44:52,28:9
44:06,28:9
43:48,28:9
43:35,28:9
42:55,27:9
42:47,27:9
42:43,27:9
42:14,27:8
42:05,26:8
41:44,26:8
41:19,26:8
41:09,26:8
40:48,26:8
40:40,25:8
40:33,25:8
40:12,25:8
40:10,25:7
39:15,25:7
39:06,24:7
38:39,24:7
38:33,23:7
38:24,23:7
37:25,23:7
37:17,22:7
37:01,22:7
36:58,22:7
36:50,22:7
36:09,22:7
36:04,22:7
35:55,22:7
35:46,22:6
35:44,22:6
35:04,22:6
34:53,21:6
34:47,21:6
34:39,21:6
34:02,21:6
33:02,21:6
32:56,20:6
32:39,20:6
32:35,19:6
31:58,19:6
31:50,19:6
31:25,19:6
30:39,19:6
30:00,19:6
29:58,19:6
29:49,19:6
29:40,19:6
29:14,19:5
29:05,18:5
28:20,18:5
27:58,18:5
27:43,18:5
26:56,18:5
26:51,18:5
26:39,18:5
26:28,18:5
26:09,18:5
25:29,18:5
25:27,18:5
24:27,18:5
24:17,18:5
23:58,18:5
23:30,18:5
23:11,18:5
22:45,18:5
22:25,18:4
22:17,17:4
21:51,17:4
21:44,16:4
21:06,16:4
20:52,16:4
20:47,16:4
19:14,16:4
19:02,16:4
18:30,15:4
18:25,15:4
18:00,15:4
17:28,15:3
17:04,14:3
16:39,14:3
16:03,14:3
15:18,13:3
14:47,13:2
14:07,12:2
13:35,12:1
13:26,12:1
12:44,12:1
12:35,11:1
12:25,11:1
12:23,11:1
11:49,11:1
11:46,10:1
11:15,10:1
10:47,10:1
10:43,9:1
09:42,9:1
09:34,8:1
09:22,8:1
09:12,7:1
08:11,7:1
07:49,7:1
07:40,7:1
07:22,7:1
07:15,7:1
06:30,6:1
05:53,6:1
05:45,5:1
05:24,5:1
05:13,4:1
05:05,4:1
04:34,3:1
04:31,3:0
04:23,3:0
03:35,3:0
03:28,3:0
03:19,2:0
02:59,2:0
02:52,1:0
02:33,1:0
02:12,1:0
01:54,1:0
01:39,1:0
01:25,1:0
00:45,1:0
