timestamp,score
59:50,19:44
59:14,19:43
59:01,19:43
58:09,19:43
57:59,18:43
57:54,18:42
57:50,18:42
57:17,18:42
56:44,17:42
56:26,17:41
56:12,17:41
55:55,17:41
55:28,16:41
55:05,16:41
54:36,15:41
54:05,15:40
53:49,15:40
53:43,15:40
53:37,15:40
53:23,15:40
53:07,15:40
52:54,15:39
52:24,15:39
52:15,15:38
51:53,15:38
51:29,15:38
51:14,15:37
51:02,14:37
50:41,14:36
50:16,14:36
50:04,14:36
49:13,14:36
48:37,14:35
48:37,14:35
48:26,13:35
48:07,13:35
46:31,12:35
46:18,12:34
45:40,12:34
45:11,12:34
44:57,12:34
44:49,12:33
43:36,12:33
43:26,12:32
42:38,12:32
42:31,12:32
42:06,12:31
41:59,12:31
41:48,12:31
41:35,11:31
41:23,11:31
40:40,11:31
40:33,11:30
40:27,11:30
39:53,11:30
39:41,11:30
39:35,11:29
39:25,11:29
39:06,11:29
39:00,11:28
38:22,11:28
38:19,11:27
38:15,11:27
38:07,11:27
37:45,11:27
37:33,11:27
37:00,10:27
36:44,10:26
36:03,10:26
35:33,10:26
35:21,10:26
34:14,10:25
33:43,9:25
33:32,9:24
32:57,8:24
32:26,8:24
31:44,8:24
31:37,8:23
29:31,8:23
29:02,8:23
28:39,8:23
28:36,8:22
28:30,8:22
28:19,8:22
28:07,7:22
27:54,7:22
26:22,7:22
25:58,7:22
25:40,6:22
25:33,6:21
25:22,6:21
25:00,6:20
24:38,5:20
24:30,5:20
24:24,5:20
23:30,5:20
22:53,5:20
22:21,5:20
22:14,5:19
21:43,5:19
21:15,5:18
20:48,5:18
20:08,5:17
19:29,5:17
19:24,5:16
18:58,5:16
18:49,5:15
18:41,5:15
17:36,5:15
17:07,5:14
16:34,4:14
16:14,4:14
15:52,4:14
15:49,4:13
15:31,4:13
14:58,4:12
14:30,4:12
14:25,4:11
13:47,4:11
13:25,4:11
12:49,4:11
12:15,4:10
11:56,3:10
11:43,3:10
11:39,3:9
11:10,3:9
10:34,3:9
10:29,3:9
10:20,3:8
09:46,3:8
09:22,3:8
09:04,3:8
08:20,3:8
08:12,3:8
07:41,2:8
07:33,2:7
07:24,2:7
07:04,2:6
06:45,1:6
06:25,1:6
06:10,1:5
05:57,1:5
05:34,1:5
05:34,1:5
05:29,1:4
04:59,1:4
04:57,1:3
04:47,1:3
04:22,1:3
04:11,1:3
03:30,0:3
03:18,0:3
02:59,0:3
02:23,0:3
02:16,0:3
01:42,0:3
01:33,0:2
01:07,0:2
01:02,0:2
00:56,0:1
00:29,0:1
