timestamp,score
59:54,17:45
59:32,17:44
59:04,16:44
58:27,16:43
58:14,16:43
57:45,16:43
57:40,15:43
56:40,15:43
56:34,15:43
56:10,15:43
56:04,15:42
55:20,15:42
54:57,15:41
54:51,14:41
53:57,14:41
53:30,14:41
52:30,13:41
52:06,13:40
51:59,13:40
51:19,13:40
50:55,13:39
50:19,13:39
50:11,13:38
49:49,12:38
49:45,12:37
49:38,12:37
49:13,12:37
48:39,12:36
47:45,11:36
47:40,11:35
47:14,11:35
47:11,11:34
47:02,11:34
46:27,10:34
46:21,10:34
45:01,10:34
44:35,10:33
44:11,10:33
44:02,10:33
43:42,10:33
43:42,10:33
43:28,10:32
42:57,10:32
42:06,10:32
41:54,10:31
40:59,10:31
40:52,10:30
40:25,10:30
39:38,10:29
39:18,10:29
38:03,10:28
36:06,10:28
36:03,10:27
35:44,10:27
35:26,10:26
34:59,10:26
34:36,10:26
34:34,10:26
34:11,10:26
33:40,10:26
33:06,9:26
32:46,9:25
31:59,8:25
31:49,8:24
31:09,8:24
31:03,8:23
30:31,8:23
30:24,8:22
30:18,7:22
29:44,7:22
29:20,7:21
28:56,6:21
28:20,6:21
27:57,5:21
27:10,5:21
26:47,5:21
26:23,5:21
25:46,5:21
25:28,5:20
25:19,4:20
25:05,4:20
24:28,4:20
24:23,4:20
24:14,4:20
23:39,4:19
22:32,4:19
22:23,4:19
21:33,4:19
21:28,4:18
20:52,4:18
20:26,4:17
20:14,4:17
20:04,4:16
19:29,4:16
18:43,4:15
18:07,4:15
17:57,4:14
16:32,3:14
16:27,3:13
16:02,3:13
15:49,3:13
15:42,3:13
15:31,3:13
15:23,3:12
15:12,3:12
14:45,3:12
14:37,3:12
13:57,3:11
12:47,3:11
12:42,3:10
12:07,3:10
11:52,3:10
11:18,3:10
10:49,2:10
10:42,2:9
10:20,2:9
10:14,2:8
08:43,2:8
08:38,2:7
08:03,2:7
07:46,2:7
07:10,2:7
07:01,2:6
06:32,2:6
06:22,2:5
06:09,2:5
05:09,2:5
05:02,2:4
04:31,2:4
04:21,2:3
03:39,1:3
03:13,1:2
02:13,0:2
02:03,0:1
00:31,0:1
00:26,0:0
