timestamp,score
60:00,19:35
59:50,19:35
59:31,19:34
59:13,19:34
59:04,19:34
58:36,18:34
57:33,18:33
57:23,18:33
56:32,18:33
55:38,17:33
55:05,17:33
54:40,16:33
54:19,16:32
53:45,15:32
53:20,15:31
52:49,15:31
52:42,15:31
52:14,15:31
51:20,15:31
50:14,15:31
49:57,14:31
49:48,14:31
49:46,14:31
49:44,14:31
48:47,14:31
47:59,14:31
47:48,14:31
47:43,14:31
46:50,14:31
46:43,14:30
46:20,14:30
45:38,14:29
45:21,13:29
45:17,13:28
44:33,13:28
44:28,13:27
44:09,13:27
43:59,13:27
43:37,13:27
42:45,13:27
42:39,13:26
42:29,13:26
42:20,13:26
42:02,13:26
41:55,13:26
41:49,13:25
41:34,13:25
40:55,13:24
40:27,12:24
40:15,12:24
38:25,12:24
38:21,12:23
37:45,12:23
37:18,11:23
36:33,11:23
36:28,11:22
35:37,11:22
35:15,11:22
34:00,11:22
33:55,11:21
33:38,11:21
33:31,11:20
33:14,11:20
33:01,11:20
31:11,11:20
30:46,11:19
30:19,11:19
30:00,11:19
29:53,11:19
29:30,11:18
28:40,10:18
28:06,10:18
27:53,9:18
27:23,9:17
27:18,9:17
26:56,9:17
26:34,9:17
26:06,9:17
25:18,9:17
24:41,8:17
24:29,8:16
24:17,8:16
23:55,8:16
23:17,8:15
23:11,8:15
23:03,8:15
22:34,8:14
22:14,8:14
21:36,8:13
20:59,8:13
20:38,8:12
20:05,8:12
19:54,8:12
19:34,7:12
19:27,7:12
19:05,7:12
18:34,7:11
17:48,7:11
17:10,7:10
16:57,7:10
16:37,7:9
16:20,7:9
15:49,7:9
15:40,7:9
15:06,7:9
14:54,7:9
14:19,6:9
14:00,6:9
12:45,5:9
12:38,5:8
11:49,5:8
11:43,5:7
11:00,5:7
10:53,5:6
10:18,4:6
10:09,4:6
10:02,4:5
09:32,3:5
08:57,3:5
08:12,3:5
08:02,3:4
07:25,2:4
06:45,2:4
06:36,2:3
06:18,2:3
06:14,2:3
05:52,2:3
05:47,2:3
05:26,2:2
05:14,2:2
04:55,2:2
03:59,2:2
03:51,2:1
03:46,1:1
03:14,1:1
02:48,1:1
02:18,1:1
01:51,1:1
01:41,1:0
01:38,1:0
00:54,1:0
00:14,1:0
