22_12_,22_11_,22_10_,22_09_,Average Performance (Whole Season),Median Performance (Whole Season),time
0.3333333333333333,-1.0,-1.0,-1.3333333333333333,-0.75,-1.0,1
-0.1,-1.0416666666666667,-1.3833333333333335,-1.972222222222222,-1.1243055555555557,-1.1243055555555557,2
-0.6666666666666666,-1.6666666666666667,-2.0,-2.9166666666666665,-1.8125,-1.8125,3
-1.5555555555555554,-2.625,-2.666666666666667,-3.666666666666667,-2.6284722222222223,-2.6284722222222223,4
-2.7333333333333334,-3.125,-3.1666666666666665,-4.75,-3.44375,-3.1666666666666665,5
-3.3333333333333335,-4.5,-3.416666666666667,-5.333333333333333,-4.145833333333333,-4.145833333333333,6
-3.4444444444444446,-5.5,-3.75,-5.583333333333334,-4.569444444444445,-4.569444444444445,7
-3.3333333333333335,-6.0,-4.0,-5.722222222222222,-4.763888888888889,-4.763888888888889,8
-3.3333333333333335,-6.5,-4.125000000000001,-6.083333333333334,-5.010416666666668,-5.010416666666668,9
-3.8888888888888893,-7.25,-3.722222222222222,-6.5,-5.340277777777778,-5.340277777777778,10
-4.722222222222222,-8.388888888888891,-3.5,-7.25,-5.965277777777779,-5.965277777777779,11
-5.333333333333334,-9.583333333333332,-3.6666666666666665,-8.333333333333332,-6.729166666666666,-6.729166666666666,12
-5.75,-10.444444444444445,-4.277777777777778,-8.333333333333334,-7.201388888888889,-7.201388888888889,13
-6.222222222222222,-10.666666666666666,-4.583333333333334,-8.583333333333332,-7.513888888888888,-7.513888888888888,14
-6.5,-10.666666666666666,-5.0,-9.0,-7.791666666666666,-7.791666666666666,15
-6.291666666666666,-10.666666666666666,-5.222222222222222,-9.833333333333332,-8.003472222222221,-8.003472222222221,16
-5.5,-11.0,-5.625,-11.0,-8.28125,-8.28125,17
-5.4444444444444455,-11.291666666666666,-6.166666666666667,-12.25,-8.788194444444445,-8.788194444444445,18
-5.833333333333333,-11.583333333333332,-6.333333333333333,-13.0,-9.1875,-9.1875,19
-5.233333333333333,-12.0,-6.583333333333334,-13.666666666666668,-9.370833333333334,-9.370833333333334,20
-5.25,-12.708333333333334,-6.5,-14.166666666666666,-9.65625,-9.65625,21
-5.666666666666666,-13.166666666666666,-6.583333333333334,-14.5,-9.979166666666666,-9.979166666666666,22
-6.0,-13.041666666666666,-6.416666666666666,-14.666666666666666,-10.031249999999998,-10.031249999999998,23
-6.25,-13.0,-5.541666666666666,-14.833333333333334,-9.90625,-9.90625,24
-6.583333333333334,-13.0,-3.888888888888889,-15.083333333333332,-9.63888888888889,-9.63888888888889,25
-7.083333333333334,-13.0,-3.1666666666666665,-15.166666666666666,-9.604166666666668,-9.604166666666668,26
-7.388888888888888,-13.055555555555555,-3.388888888888889,-16.0,-9.958333333333332,-9.958333333333332,27
-7.5,-13.166666666666666,-4.166666666666667,-17.222222222222225,-10.51388888888889,-10.51388888888889,28
-8.222222222222221,-13.125,-4.916666666666667,-17.5,-10.940972222222221,-10.940972222222221,29
-9.722222222222221,-13.0,-6.0,-17.333333333333332,-11.51388888888889,-11.51388888888889,30
-11.277777777777779,-13.083333333333332,-6.333333333333333,-17.25,-11.98611111111111,-11.98611111111111,31
-12.277777777777779,-13.833333333333334,-6.333333333333333,-17.5,-12.486111111111112,-12.486111111111112,32
-12.833333333333332,-14.666666666666666,-6.5,-18.0,-13.0,-13.0,33
-13.416666666666668,-15.208333333333334,-6.333333333333333,-18.416666666666664,-13.34375,-13.416666666666668,34
-13.777777777777779,-15.4,-6.222222222222221,-19.0,-13.6,-13.777777777777779,35
-13.833333333333334,-15.2,-5.666666666666667,-19.5,-13.549999999999999,-13.833333333333334,36
-14.0,-16.0,-5.166666666666667,-19.166666666666664,-13.583333333333332,-14.0,37
-14.75,-16.944444444444446,-4.833333333333333,-18.833333333333332,-13.840277777777779,-14.75,38
-15.5,-17.38888888888889,-4.791666666666666,-19.416666666666668,-14.274305555555554,-15.5,39
-16.208333333333332,-17.625,-4.833333333333333,-20.833333333333332,-14.875,-16.208333333333332,40
-16.333333333333332,-18.166666666666668,-5.133333333333335,-21.666666666666668,-15.325,-16.333333333333332,41
-16.333333333333332,-18.333333333333332,-5.4,-22.055555555555554,-15.530555555555555,-16.333333333333332,42
-16.166666666666668,-18.666666666666668,-6.222222222222222,-22.777777777777782,-15.958333333333336,-16.166666666666668,43
-16.166666666666668,-19.25,-7.083333333333333,-23.666666666666668,-16.541666666666668,-16.541666666666668,44
-16.166666666666668,-19.555555555555557,-7.666666666666667,-24.666666666666664,-17.01388888888889,-17.01388888888889,45
-16.625,-19.466666666666665,-8.083333333333332,-25.666666666666668,-17.460416666666667,-17.460416666666667,46
-17.11111111111111,-19.866666666666667,-8.666666666666666,-27.0,-18.16111111111111,-18.16111111111111,47
-17.0,-20.458333333333332,-9.833333333333334,-28.333333333333332,-18.90625,-18.90625,48
-16.833333333333332,-20.458333333333332,-10.666666666666666,-28.833333333333332,-19.197916666666664,-19.197916666666664,49
-16.333333333333332,-21.222222222222225,-10.5,-29.75,-19.45138888888889,-19.45138888888889,50
-16.166666666666668,-22.75,-10.0,-31.166666666666664,-20.020833333333336,-20.020833333333336,51
-16.458333333333332,-24.166666666666664,-9.333333333333334,-32.333333333333336,-20.572916666666668,-20.572916666666668,52
-16.166666666666668,-24.583333333333336,-8.833333333333334,-33.25,-20.708333333333336,-20.708333333333336,53
-15.555555555555557,-25.0,-8.777777777777779,-34.888888888888886,-21.055555555555557,-21.055555555555557,54
-15.333333333333334,-25.88888888888889,-8.166666666666668,-36.0,-21.34722222222222,-21.34722222222222,55
-15.666666666666666,-27.055555555555557,-7.555555555555556,-36.41666666666667,-21.673611111111114,-21.673611111111114,56
-16.25,-28.18333333333333,-7.222222222222222,-37.125,-22.195138888888888,-22.195138888888888,57
