timestamp,score
59:15,24:30
58:48,24:30
58:12,24:30
57:31,24:29
57:03,24:29
56:59,24:29
56:26,24:29
55:50,23:29
55:03,23:28
54:18,23:28
53:36,23:27
53:12,23:27
51:52,22:27
51:05,21:27
50:14,21:26
50:10,21:26
50:00,20:26
49:29,20:25
48:36,20:25
48:27,20:25
47:56,20:25
47:49,19:25
47:16,19:24
47:06,18:24
46:57,18:24
45:50,17:24
45:04,17:23
44:19,16:23
44:11,16:22
43:44,16:22
43:40,16:21
42:36,16:21
41:52,16:21
41:41,16:20
41:07,15:20
40:14,15:19
39:33,15:18
39:15,14:18
38:42,14:17
37:52,13:17
36:32,13:16
36:28,13:16
35:48,13:16
35:28,13:16
35:24,13:16
34:35,13:16
34:06,13:15
32:39,12:15
31:54,12:14
30:29,11:14
30:22,11:14
30:00,11:14
29:41,11:14
29:20,11:14
29:07,11:14
28:57,10:14
28:17,10:13
27:47,10:13
27:43,10:12
27:31,10:12
27:03,10:11
26:57,10:11
26:33,10:11
26:24,10:11
25:00,10:11
24:48,10:11
22:49,9:11
22:38,9:10
22:12,8:10
21:37,8:9
21:08,7:9
20:46,7:8
20:41,7:8
20:21,7:8
20:07,7:8
19:34,7:8
19:00,7:8
18:39,7:7
18:36,7:7
17:46,7:7
17:21,7:6
16:45,7:6
16:35,7:6
15:55,7:5
14:53,6:5
14:05,6:4
13:46,5:4
13:02,5:4
12:02,5:3
11:24,5:3
11:20,4:3
11:00,4:3
11:00,4:3
09:59,4:3
09:08,4:3
08:59,4:2
07:57,3:2
07:41,3:1
07:27,3:1
06:23,3:1
06:17,3:1
05:49,3:0
05:01,3:0
04:52,3:0
03:27,2:0
02:44,2:0
02:13,1:0
01:58,1:0
01:55,1:0
01:17,1:0
01:04,0:0
