timestamp,score
59:52,35:27
59:06,34:27
58:36,33:27
58:23,32:27
58:00,32:26
57:21,32:25
56:53,32:25
56:35,31:25
56:10,31:24
55:44,30:24
55:28,29:24
54:46,29:24
54:25,29:24
53:41,29:23
53:15,29:22
52:38,28:22
51:43,28:22
51:07,28:22
49:50,28:22
48:34,27:22
48:12,26:22
46:44,26:22
46:44,25:22
46:44,25:21
46:44,25:21
46:32,25:21
45:51,25:21
45:31,25:20
45:02,25:20
44:35,25:20
44:04,25:19
43:39,24:19
41:54,24:18
41:37,24:17
40:50,24:17
40:31,23:17
39:52,23:16
38:52,22:16
37:43,22:15
37:14,22:15
36:44,21:15
36:13,20:15
35:25,20:14
35:22,20:14
34:45,19:14
34:29,19:13
34:06,18:13
33:44,18:13
33:22,18:13
33:20,18:13
32:23,17:13
31:41,17:13
30:31,16:13
29:57,16:13
29:15,16:12
28:46,15:12
28:35,15:11
27:06,15:11
26:46,15:10
26:17,15:10
25:40,15:10
25:19,15:10
25:02,15:10
24:41,15:10
23:30,14:10
23:12,14:10
22:56,13:10
22:13,13:10
21:53,12:10
21:11,12:10
21:10,12:10
20:47,11:10
20:14,11:10
19:58,10:10
19:23,10:9
19:16,9:9
18:39,9:9
17:20,9:9
16:47,9:8
16:12,9:8
15:44,8:8
15:28,8:8
14:12,7:8
13:42,7:8
13:20,7:8
12:59,7:8
12:16,7:8
11:39,7:8
10:55,7:7
10:24,7:6
10:01,6:6
09:31,6:5
08:40,6:5
08:40,6:5
08:06,6:5
07:56,6:4
07:50,5:4
07:21,5:3
07:16,5:3
06:37,4:3
06:26,4:2
05:40,3:2
05:27,3:1
04:19,2:1
03:55,2:1
02:56,1:1
02:26,1:1
02:16,1:0
01:35,1:0
01:20,0:0
