timestamp,score
59:43,28:27
59:28,28:26
59:19,28:26
58:56,28:26
58:24,28:25
58:12,28:25
57:28,28:24
57:25,28:24
57:12,28:24
56:41,28:23
56:35,28:23
56:03,28:23
56:00,28:23
55:53,28:23
55:14,28:23
55:02,28:23
54:34,28:22
53:24,28:22
53:16,28:22
52:32,28:22
52:06,28:21
52:00,28:21
51:29,28:21
51:16,27:21
50:12,27:20
49:10,26:20
48:31,26:20
48:27,25:20
48:02,25:20
47:32,25:20
46:45,25:19
45:57,25:19
45:15,25:18
45:10,25:18
44:45,25:18
44:39,25:18
44:12,24:18
43:40,24:18
43:21,23:18
42:48,23:18
42:37,23:18
42:26,23:17
42:20,22:17
41:49,22:17
40:36,21:17
40:32,21:16
39:27,21:16
39:11,20:16
38:38,20:16
38:07,20:15
38:01,19:15
37:56,19:15
37:47,19:15
37:17,19:15
37:05,18:15
36:07,18:14
35:48,17:14
35:39,17:14
35:28,17:14
35:00,17:14
34:29,17:14
33:15,17:14
32:53,17:14
32:53,17:13
32:22,17:13
32:17,17:13
32:12,17:13
31:01,17:13
30:42,16:13
30:25,16:13
30:17,16:13
29:59,16:13
29:49,15:13
29:17,15:13
29:12,15:13
28:17,15:13
28:13,14:13
27:25,14:13
27:07,14:12
26:54,14:12
26:46,14:12
26:43,14:12
26:09,14:12
25:27,14:12
25:06,14:12
25:05,14:12
25:01,14:12
24:02,14:12
22:42,13:12
22:32,13:12
22:11,13:11
22:01,13:11
21:09,13:11
20:29,12:11
20:26,12:10
20:20,12:10
20:01,12:10
19:55,11:10
18:57,11:10
18:28,10:10
17:41,10:9
17:12,10:9
16:31,10:8
15:41,9:8
15:10,9:8
13:56,8:8
13:30,8:7
12:49,7:7
12:46,7:6
12:30,7:6
12:08,7:5
12:07,6:5
11:14,6:5
11:08,5:5
10:42,5:5
10:32,4:5
09:41,4:4
09:12,3:4
08:41,3:4
08:09,3:3
07:28,3:3
06:56,2:3
06:33,2:3
06:13,2:3
06:01,2:3
05:53,2:2
04:45,2:2
04:38,2:2
04:19,2:1
04:07,2:1
03:39,2:1
03:28,1:1
02:34,1:0
02:05,0:0
01:30,0:0
01:17,0:0
00:58,0:0
00:49,0:0
00:28,0:0
