timestamp,score
60:00,21:34
60:00,21:34
60:00,21:34
59:45,21:34
59:25,21:33
59:13,21:33
58:50,21:33
58:24,21:33
57:48,21:33
57:19,21:33
56:52,20:33
56:17,20:33
56:05,20:33
55:29,20:33
55:17,20:33
55:07,20:33
54:55,20:33
54:49,20:33
54:36,20:33
54:16,20:33
53:52,20:33
53:43,20:33
53:21,19:33
51:48,19:32
51:22,19:32
50:46,19:31
50:37,19:31
50:28,19:31
50:28,19:31
50:23,19:31
50:14,19:30
49:46,19:30
49:40,19:29
49:34,19:29
49:26,19:29
48:55,19:29
48:12,19:28
47:42,18:28
46:53,18:28
45:57,18:27
45:29,18:27
44:52,18:26
44:45,17:26
44:24,17:26
43:58,16:26
43:34,16:25
43:23,16:25
43:12,16:25
42:53,16:25
42:22,16:25
42:06,16:24
41:53,16:24
41:51,16:24
41:40,16:24
41:22,16:24
41:07,16:24
40:52,16:24
39:28,16:24
39:22,16:23
38:48,16:23
38:23,16:22
38:15,16:22
38:01,15:22
37:36,15:22
36:21,15:22
36:09,15:21
35:44,15:21
35:06,15:21
34:41,15:21
34:32,15:20
34:08,15:20
33:55,15:20
33:39,14:20
33:09,14:20
32:04,14:20
31:30,14:20
31:20,14:20
31:00,21:34
30:50,14:20
30:40,14:19
30:00,14:19
30:00,14:19
29:55,14:19
29:48,14:19
29:20,14:18
29:08,14:18
28:45,14:18
28:32,14:18
27:27,14:17
27:22,13:17
26:37,13:17
26:14,12:17
25:24,12:17
24:52,12:16
24:25,12:16
24:16,12:15
23:42,12:15
23:41,12:14
23:41,12:14
23:24,12:14
22:47,12:14
22:04,12:14
22:00,11:14
21:47,11:14
21:38,11:13
21:16,10:13
20:38,10:12
20:14,9:12
19:52,9:11
19:43,9:11
19:12,9:11
18:25,9:11
18:20,8:11
18:09,8:11
16:56,8:10
16:42,7:10
16:22,7:10
16:07,7:10
15:45,7:9
15:22,7:9
15:09,7:8
14:10,6:8
13:44,6:7
13:05,5:7
12:43,5:7
12:22,5:7
11:35,5:7
10:51,5:7
10:18,5:7
10:09,5:6
09:48,5:6
09:05,5:6
08:29,5:5
08:16,5:5
07:29,4:5
07:17,4:4
07:00,4:4
06:31,4:4
06:20,4:4
05:57,3:4
05:03,3:4
04:54,3:4
04:47,3:3
04:20,2:3
03:54,2:2
03:44,2:2
02:55,2:2
02:46,2:1
02:06,2:1
01:56,2:1
01:46,2:1
01:10,2:1
00:39,1:1
00:31,1:0
