timestamp,score
60:00,32:35
59:45,32:35
59:40,32:35
59:17,32:35
58:33,32:34
58:24,32:34
57:49,32:34
57:36,31:34
57:07,31:33
56:57,30:33
56:28,30:32
56:03,29:32
55:24,29:31
55:10,29:31
54:52,29:31
54:17,29:31
53:52,29:31
53:39,29:31
53:13,29:31
52:29,29:30
52:09,29:30
52:09,29:30
52:04,29:29
50:47,29:29
50:09,29:28
49:32,29:28
49:26,29:28
49:18,29:28
48:42,29:27
48:25,28:27
47:54,28:27
47:18,28:26
47:15,27:26
46:57,27:26
46:10,27:25
45:59,26:25
45:18,26:24
44:46,25:24
44:21,25:24
44:14,24:24
43:52,24:23
43:52,24:23
43:43,23:23
43:09,23:22
42:50,23:22
42:49,23:22
42:42,22:22
42:19,22:21
42:17,21:21
41:48,21:21
41:47,21:21
41:37,20:21
40:59,20:21
40:51,20:21
40:13,20:21
40:04,19:21
39:30,19:21
38:49,19:21
38:08,19:21
37:59,19:21
37:31,19:21
36:39,19:21
36:07,19:20
35:18,18:20
35:03,18:19
34:25,18:19
34:10,18:19
34:05,18:19
33:07,18:19
32:51,18:19
32:17,18:19
31:52,18:19
31:31,18:19
31:06,18:19
31:06,18:19
30:36,18:18
30:28,17:18
29:57,17:17
29:33,17:16
29:31,17:16
28:19,17:16
28:06,17:15
27:08,16:15
26:48,16:15
26:40,16:15
26:11,16:15
25:39,16:14
25:12,15:14
25:02,15:13
24:25,15:13
23:59,15:12
23:40,14:12
23:04,14:12
23:00,14:12
22:50,14:12
22:13,14:12
21:46,14:12
21:37,13:12
21:18,13:11
21:11,13:11
20:42,13:11
20:17,12:11
19:32,12:11
18:56,11:11
18:52,11:10
18:39,11:10
17:52,10:10
17:27,10:9
17:16,9:9
17:12,9:9
15:47,9:9
15:08,9:9
14:55,8:9
14:27,8:8
14:04,8:8
13:53,8:8
13:45,8:8
13:18,8:7
12:56,7:7
11:55,7:6
11:03,6:6
10:33,6:6
09:40,6:6
08:55,6:6
08:42,6:6
08:36,6:6
08:14,6:5
07:57,5:5
07:16,5:5
07:13,5:4
07:11,5:4
06:36,5:4
06:16,5:3
05:29,5:3
05:16,4:3
04:44,4:2
04:36,3:2
04:13,3:2
04:05,2:2
03:27,2:2
02:44,2:2
02:26,2:2
02:04,2:1
01:51,1:1
01:04,1:1
00:51,1:0
00:29,1:0
