timestamp,score
60:00,38:35
59:59,37:35
59:45,37:35
59:33,36:35
59:09,36:34
59:09,36:34
58:55,35:34
58:42,35:33
58:11,35:33
58:04,35:32
57:25,35:32
56:47,35:31
56:27,34:31
56:17,34:30
56:02,33:30
55:46,33:29
55:21,33:29
54:50,33:28
54:12,32:28
53:48,32:28
53:39,32:28
53:13,31:28
52:48,31:28
52:46,31:27
52:30,31:27
52:25,30:27
52:03,30:27
51:57,30:27
51:19,29:27
50:25,29:27
50:02,29:27
49:57,29:27
49:47,29:27
49:20,29:27
49:08,29:27
48:49,29:27
48:46,29:26
48:16,29:26
48:11,29:25
48:02,29:25
47:27,29:25
46:59,29:25
46:35,28:25
46:20,28:25
46:02,28:25
45:37,28:24
44:54,27:24
44:50,27:23
44:15,27:23
44:15,27:23
44:15,26:23
44:02,26:23
43:57,26:23
42:44,26:23
42:20,25:23
42:00,24:23
41:48,23:23
41:21,23:23
41:11,23:22
40:07,23:21
40:06,23:22
39:53,23:21
39:27,23:21
38:45,22:21
38:05,22:21
37:51,21:21
37:43,21:21
37:13,21:21
37:01,21:21
36:31,21:20
36:16,20:20
36:00,20:20
35:54,20:20
35:44,20:20
35:06,20:20
34:10,19:20
33:03,19:19
32:11,18:19
31:45,17:19
31:21,17:19
31:00,17:19
30:30,17:19
29:56,17:18
29:42,17:17
29:23,17:17
29:00,17:16
28:34,17:16
27:59,16:16
27:26,16:15
27:16,16:14
26:52,16:14
26:45,16:14
26:02,16:14
25:58,15:14
25:32,15:14
24:57,15:14
24:22,15:13
24:19,15:13
23:52,15:13
23:05,15:13
22:52,15:13
22:18,15:13
21:34,15:13
21:27,14:13
21:16,14:13
20:46,13:13
19:51,13:12
19:24,13:11
19:00,12:11
18:31,12:11
18:15,12:10
17:53,12:10
17:44,11:10
17:31,11:10
17:10,11:10
17:10,11:10
16:33,11:9
16:30,11:9
16:28,10:9
15:46,10:9
15:38,9:9
14:51,9:9
14:39,8:9
14:37,8:9
14:04,8:9
13:47,7:9
12:52,7:9
12:30,7:9
12:02,7:9
11:57,6:9
11:32,6:9
11:22,5:9
11:01,5:8
10:31,5:8
10:24,5:8
10:08,5:8
09:14,5:8
09:02,5:7
08:52,4:7
08:40,4:7
08:08,4:7
08:06,4:7
07:27,4:6
06:58,4:6
06:27,4:5
06:12,4:5
06:05,4:5
05:27,4:5
05:14,4:4
04:46,3:4
04:42,3:4
04:18,3:4
04:01,3:3
03:45,2:3
03:05,2:2
02:57,1:2
02:52,1:2
02:38,1:2
02:12,1:1
01:47,0:1
01:34,0:1
01:22,0:1
00:54,0:0
00:49,0:0
00:36,0:0
