timestamp,score
60:00,35:33
59:49,34:33
59:38,34:33
59:32,34:33
58:52,34:33
58:39,34:32
58:25,33:32
58:09,33:32
58:01,33:31
57:41,33:31
57:34,33:31
57:18,33:31
56:46,33:30
56:07,32:30
55:55,32:29
55:25,31:29
55:13,31:29
54:43,30:29
54:11,30:28
54:02,29:28
53:15,29:28
53:10,28:28
53:02,28:28
52:39,28:28
52:26,28:27
52:09,28:27
51:08,28:27
50:58,28:26
50:27,27:26
49:32,27:25
49:04,26:25
48:55,26:24
48:44,26:24
48:41,26:23
48:01,26:23
47:10,26:23
46:36,26:22
46:21,26:22
45:51,25:22
45:42,25:21
45:04,24:21
44:45,24:21
44:39,24:20
44:12,23:20
43:45,23:20
43:45,23:20
43:36,23:20
43:03,23:20
42:51,23:20
42:27,22:20
42:24,22:20
42:15,22:20
42:10,21:20
41:41,21:20
41:29,21:20
40:30,21:20
39:22,21:19
39:10,20:19
38:43,20:19
38:32,20:19
37:49,20:19
37:37,20:18
37:11,19:18
36:42,19:17
36:36,19:17
36:30,19:17
36:20,19:17
35:52,19:16
35:46,19:16
35:11,19:16
35:03,18:16
34:09,18:16
33:54,17:16
33:23,17:16
33:16,17:16
33:07,17:16
32:58,17:16
32:22,17:16
32:12,16:16
31:47,16:16
31:12,15:16
31:01,15:15
30:53,14:15
29:56,14:15
29:50,14:14
29:50,14:14
29:12,14:14
29:00,14:14
28:34,14:13
27:31,13:13
27:22,13:13
26:52,12:13
26:48,12:13
26:07,12:13
25:53,12:13
25:45,12:12
25:31,12:12
25:05,12:11
24:55,12:11
24:40,12:11
24:14,12:10
24:04,12:10
23:23,12:9
23:08,12:9
22:05,12:9
21:53,12:9
21:52,12:9
21:43,12:9
21:12,12:9
20:36,11:9
19:53,11:9
19:13,11:9
19:07,11:9
18:09,11:9
18:06,11:8
17:14,11:8
17:00,10:8
15:55,10:7
15:16,9:7
14:55,9:6
14:33,9:6
13:59,9:6
13:52,8:6
13:41,8:6
12:52,7:6
12:47,7:6
12:24,7:6
12:00,7:6
11:13,7:6
11:05,7:6
10:55,6:6
10:40,6:5
09:57,6:5
09:23,5:5
09:13,5:5
08:27,5:5
08:19,5:4
07:51,5:4
07:27,5:3
07:18,5:3
06:39,5:3
06:11,5:2
06:07,4:2
05:57,4:2
05:45,3:2
05:10,3:1
05:03,2:1
04:39,2:0
04:22,2:0
04:14,2:0
04:04,2:0
03:57,1:0
02:45,1:0
02:09,0:0
01:26,0:0
00:45,0:0
00:36,0:0
00:30,0:0
