timestamp,score
59:49,33:26
59:10,32:26
58:46,32:26
58:26,31:26
58:10,31:26
56:49,31:26
56:45,31:25
56:27,31:25
56:19,31:25
56:00,31:25
55:53,31:25
55:29,31:24
55:02,31:24
54:39,31:23
54:05,30:23
53:42,30:23
53:17,29:23
52:35,29:23
52:29,28:23
52:27,28:23
51:46,28:23
51:24,27:23
50:50,27:23
50:50,27:23
50:42,27:23
50:31,27:23
50:11,27:23
49:52,27:22
49:09,26:22
48:57,26:22
47:45,26:22
47:24,26:22
46:38,26:21
46:12,26:21
45:45,26:21
45:24,25:21
45:09,25:20
44:09,24:20
43:43,24:19
43:36,24:19
42:55,24:18
42:52,23:18
41:48,23:18
41:10,23:17
41:03,22:17
40:54,22:17
40:04,22:17
39:50,22:16
39:34,21:16
38:22,21:16
37:56,21:16
37:50,21:16
37:24,21:16
36:08,21:16
35:52,20:16
35:03,20:16
34:51,20:16
34:30,19:16
34:27,19:16
34:15,19:16
34:07,19:16
33:40,19:16
33:06,18:16
32:57,18:16
32:26,18:16
32:00,18:15
31:31,17:15
30:57,17:14
29:58,17:14
29:36,17:14
28:42,17:13
28:35,17:13
28:11,17:12
27:54,16:12
27:47,16:12
27:17,16:11
26:39,15:11
26:38,15:11
26:13,15:11
25:40,14:11
24:56,14:10
24:29,13:10
23:47,13:9
23:22,12:9
22:49,12:9
21:50,11:9
21:38,11:8
20:36,10:8
19:57,10:8
19:04,9:8
18:24,9:8
16:43,9:8
16:37,9:7
16:00,9:7
15:41,9:6
15:23,9:6
14:50,9:6
14:23,8:6
13:38,8:6
12:54,7:6
12:51,7:5
12:25,7:5
11:39,7:5
11:09,7:5
11:02,6:5
10:21,6:5
10:17,5:5
09:40,5:5
09:39,5:5
09:07,4:5
08:36,4:4
08:04,4:4
07:26,4:3
07:05,3:3
06:48,3:2
06:02,3:2
06:00,2:2
05:51,2:2
05:32,2:2
04:57,2:1
04:54,2:1
03:59,2:1
03:44,1:1
03:38,1:1
02:45,1:0
02:43,1:0
02:04,0:0
01:32,0:0
01:24,0:0
00:54,0:0
