timestamp,score
59:51,25:29
59:46,25:29
59:14,25:29
59:05,25:29
58:41,24:29
58:10,24:29
57:36,24:28
57:26,24:28
56:38,24:28
56:06,23:28
56:01,23:28
55:15,23:28
54:57,23:28
54:29,23:27
54:06,23:27
53:43,22:27
52:58,22:27
52:20,22:26
51:49,22:26
51:33,22:25
50:50,22:25
49:52,22:24
49:25,21:24
49:10,21:24
48:40,21:23
47:30,21:23
47:23,21:23
46:42,21:23
46:25,21:23
45:43,21:23
45:15,21:22
44:43,21:22
44:32,21:21
44:23,21:21
43:31,21:21
42:56,21:21
42:28,20:21
41:39,20:20
41:24,20:20
41:12,20:20
40:41,20:20
40:14,20:20
40:14,20:20
40:05,20:19
39:38,19:19
39:29,19:19
39:01,19:19
38:52,19:19
38:00,18:19
37:22,18:18
36:55,17:18
36:32,17:17
36:01,17:17
35:24,17:17
34:47,17:16
34:17,16:16
33:45,16:16
33:38,15:16
33:11,15:16
33:06,14:16
32:10,14:16
31:38,14:15
31:25,13:15
31:16,13:15
30:47,13:15
29:58,13:14
29:58,13:14
29:33,13:14
29:29,13:13
29:19,13:13
28:15,13:13
28:08,13:13
27:58,13:13
27:33,13:13
27:28,13:13
26:53,13:13
26:31,13:13
25:44,12:13
25:05,12:13
24:33,12:13
24:00,11:13
23:49,11:12
23:24,10:12
23:00,10:11
21:46,10:11
21:17,10:10
20:56,10:10
20:45,10:9
20:20,10:9
19:54,10:9
19:26,9:9
18:41,9:8
18:41,9:8
17:47,8:8
17:35,8:7
16:45,8:7
16:42,8:6
15:52,8:6
15:52,8:6
15:38,8:5
14:54,7:5
14:48,7:5
14:22,7:5
13:59,7:5
13:34,6:5
13:02,6:4
12:50,6:4
12:39,6:4
12:03,6:4
11:42,6:4
10:45,6:4
10:06,6:4
09:36,6:4
09:30,5:4
09:10,5:4
08:21,5:4
08:09,5:3
06:48,4:3
06:36,4:3
05:46,4:3
05:40,3:3
04:37,3:3
04:25,3:2
03:58,3:2
03:09,3:1
02:40,2:1
02:31,2:1
02:10,2:1
01:55,2:1
01:28,1:1
01:11,1:0
00:39,1:0
