timestamp,score
60:00,35:34
59:51,35:33
59:40,34:33
59:28,34:32
59:00,33:32
58:36,33:32
57:52,32:32
57:35,32:31
57:30,32:31
57:15,32:31
57:04,32:31
56:06,32:31
56:04,32:31
55:53,32:30
55:44,31:30
55:34,31:30
54:56,31:30
54:47,31:29
54:17,30:29
54:01,30:29
53:41,30:29
53:22,30:29
53:10,30:29
52:06,29:29
51:32,29:28
51:01,28:28
50:14,28:28
49:48,27:28
49:29,27:27
48:34,27:27
48:31,26:27
48:00,26:27
47:36,26:26
46:57,25:26
46:41,25:25
46:25,25:25
45:53,24:25
45:51,24:24
45:41,24:24
44:46,24:24
44:33,23:24
44:01,23:23
43:56,22:23
43:12,22:23
42:43,22:22
42:09,21:22
41:39,21:22
40:54,20:22
40:47,20:22
39:36,20:22
39:03,20:21
38:31,20:21
38:05,20:21
38:02,20:20
37:44,20:20
37:42,20:20
37:06,19:20
36:31,19:19
36:20,19:19
36:10,18:19
35:38,18:19
34:42,17:19
34:24,17:18
34:17,17:18
34:09,17:18
33:39,17:18
33:07,17:18
32:56,17:18
32:09,16:18
32:03,16:18
31:32,16:17
31:22,15:17
30:39,15:17
30:30,15:17
30:27,14:17
29:58,14:17
29:39,14:17
29:31,14:17
28:39,14:17
28:05,14:17
27:18,14:17
26:39,14:16
26:12,14:16
26:06,14:16
25:24,14:16
25:10,13:16
24:48,13:15
24:18,12:15
24:02,12:14
23:31,12:14
23:18,11:14
22:48,11:13
22:33,10:13
22:02,10:12
21:43,10:12
21:07,10:11
20:55,9:11
20:51,9:11
20:40,9:11
20:07,9:11
19:55,9:11
19:49,9:11
19:36,9:11
18:52,9:10
18:45,8:10
18:33,8:10
17:50,8:10
17:09,8:9
17:02,8:9
16:22,7:9
16:10,7:9
15:16,7:9
14:13,6:9
13:58,6:8
13:43,5:8
13:05,5:8
12:31,5:7
11:58,5:7
11:47,4:7
11:26,4:6
10:56,4:6
10:33,4:5
10:05,4:5
09:33,3:5
09:07,3:5
08:37,3:5
08:26,3:4
07:58,3:4
07:44,2:4
07:33,2:3
07:04,1:3
06:44,1:2
06:34,1:2
06:09,1:2
05:38,1:2
05:22,1:2
05:13,1:2
04:27,1:2
04:09,1:2
03:55,1:1
03:24,1:1
02:46,1:1
02:41,1:1
02:06,1:0
01:40,1:0
00:38,1:0
00:38,0:0
00:38,0:0
