timestamp,score
60:00,28:46
59:57,28:46
59:38,28:46
59:15,27:46
59:05,27:45
58:57,27:45
58:08,27:45
57:54,26:45
57:23,26:45
57:16,26:44
56:35,26:44
56:15,26:43
56:04,26:43
55:55,26:42
55:28,26:42
55:22,26:41
54:47,26:41
54:30,26:40
53:53,25:40
53:44,25:39
53:05,25:39
52:57,25:38
52:39,25:38
52:27,25:38
51:52,25:37
51:30,24:37
51:30,24:37
51:09,24:36
50:33,24:36
49:48,24:35
48:55,23:35
48:46,23:35
48:36,23:35
48:10,23:34
48:03,22:34
47:37,22:34
47:11,21:34
46:53,21:34
46:26,21:33
46:16,21:33
45:32,21:33
45:23,21:33
45:14,21:32
44:30,21:32
44:26,21:31
44:06,21:31
43:59,21:30
42:42,21:30
42:36,21:29
41:54,21:29
41:27,21:28
40:59,21:28
40:14,20:28
40:10,20:28
39:32,20:28
39:32,20:28
39:30,20:28
39:07,20:28
37:33,19:28
37:10,19:27
37:00,19:27
36:30,19:26
35:59,18:26
35:14,18:26
34:58,18:26
34:34,18:26
34:24,18:25
33:53,18:25
33:30,18:24
32:59,17:24
32:23,17:23
32:14,17:23
32:06,17:22
31:24,17:22
31:08,17:21
30:27,16:21
30:24,16:21
30:00,16:21
29:58,16:20
29:50,16:20
29:49,16:20
29:37,16:19
28:55,16:19
28:51,16:19
27:55,16:19
27:50,16:18
27:23,16:18
27:22,16:18
27:14,16:17
26:36,16:17
26:32,16:17
26:00,16:17
25:38,16:16
25:05,16:16
24:43,16:15
24:33,15:15
24:12,15:15
24:00,14:15
23:46,14:15
23:21,14:14
23:15,13:14
23:06,13:14
22:38,13:14
21:40,13:13
21:38,12:13
21:21,12:13
20:19,12:13
20:01,12:12
19:48,11:12
19:28,11:12
19:07,10:12
18:59,10:12
18:31,10:12
18:14,10:12
17:32,10:12
17:07,10:12
17:03,10:11
16:55,10:11
16:20,10:10
16:07,9:10
15:54,9:10
15:29,9:10
14:44,9:10
14:41,9:9
14:04,9:9
13:58,9:8
13:28,9:8
13:00,9:8
12:55,9:8
12:26,8:8
12:03,8:7
11:57,7:7
11:37,7:7
11:03,6:7
10:37,6:6
10:23,5:6
09:58,5:6
09:10,5:6
08:55,5:5
08:25,5:5
08:12,5:5
07:52,5:5
07:27,5:5
06:38,4:5
06:05,4:4
05:58,4:4
05:39,4:3
05:02,4:3
04:50,4:3
04:16,4:2
04:11,4:2
03:37,3:2
03:21,3:1
03:19,2:1
03:10,2:1
02:37,2:0
02:27,1:0
02:07,1:0
01:25,1:0
00:54,1:0
00:38,0:0
