timestamp,score
58:51,27:42
58:04,27:41
57:56,26:41
56:47,26:41
56:22,26:41
55:47,26:40
55:18,25:40
54:56,25:39
54:49,25:39
54:02,25:39
53:31,25:39
52:40,24:39
52:23,24:39
52:07,24:39
51:38,24:39
51:13,24:38
50:50,23:38
50:37,23:37
50:10,23:37
49:46,23:36
49:19,22:36
48:54,22:35
48:20,22:35
47:55,22:34
47:28,21:34
47:23,21:33
46:48,21:33
46:13,21:33
45:58,21:33
45:26,21:33
44:59,21:32
44:59,21:32
44:24,20:32
44:21,20:31
43:45,20:31
43:27,20:30
42:56,20:30
42:38,20:29
42:12,20:29
41:52,20:28
41:31,20:28
41:03,20:27
40:50,19:27
40:16,19:27
39:47,19:27
39:28,19:27
39:23,19:26
39:09,18:26
39:02,18:26
38:33,18:25
38:07,18:25
37:45,18:24
37:29,18:24
37:25,18:24
36:44,18:24
36:09,18:23
36:00,18:23
35:21,18:22
35:00,18:22
34:51,18:21
34:12,18:21
34:01,18:21
33:49,18:21
33:15,18:21
32:48,17:21
32:31,17:20
32:01,17:20
31:54,17:20
31:22,17:20
31:06,17:19
30:58,17:19
30:24,16:19
30:00,16:18
29:38,16:18
29:26,16:17
29:18,16:17
28:45,16:17
27:47,15:17
27:39,15:16
26:57,15:16
26:43,15:16
26:21,15:16
25:39,15:16
25:27,15:15
24:57,15:15
24:20,15:14
24:03,15:14
23:41,15:14
23:03,15:14
22:31,15:14
22:05,15:14
21:55,15:13
21:14,15:13
21:08,15:12
20:50,15:12
19:50,15:12
19:48,15:12
19:38,14:12
19:14,14:12
18:19,13:12
18:10,13:12
17:29,12:12
17:20,12:11
16:58,12:11
16:33,11:11
16:11,11:10
15:45,10:10
15:13,10:9
14:55,9:9
14:38,9:9
14:19,9:8
14:13,8:8
14:06,8:8
13:10,7:8
12:08,7:7
11:36,7:6
10:47,6:6
08:00,6:6
06:17,6:5
06:17,6:6
06:17,6:4
06:17,6:3
06:17,6:2
06:17,5:2
06:17,4:2
06:17,3:2
06:17,2:2
04:30,2:2
01:54,2:2
01:26,2:2
01:26,1:2
01:19,1:1
01:00,0:1
