21_09_,Average Performance (Whole Season),Median Performance (Whole Season),time
-0.4749999999999999,-0.4749999999999999,-0.4749999999999999,1
-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,2
0.0,0.0,0.0,3
1.6666666666666667,1.6666666666666667,1.6666666666666667,4
0.6666666666666666,0.6666666666666666,0.6666666666666666,5
0.3333333333333333,0.3333333333333333,0.3333333333333333,6
0.08333333333333333,0.08333333333333333,0.08333333333333333,7
0.0,0.0,0.0,8
0.05555555555555555,0.05555555555555555,0.05555555555555555,9
0.38888888888888884,0.38888888888888884,0.38888888888888884,10
0.41666666666666663,0.41666666666666663,0.41666666666666663,11
0.611111111111111,0.611111111111111,0.611111111111111,12
0.9444444444444443,0.9444444444444443,0.9444444444444443,13
1.5,1.5,1.5,14
2.3333333333333335,2.3333333333333335,2.3333333333333335,15
2.5555555555555554,2.5555555555555554,2.5555555555555554,16
1.6666666666666667,1.6666666666666667,1.6666666666666667,17
1.1666666666666667,1.1666666666666667,1.1666666666666667,18
0.8333333333333334,0.8333333333333334,0.8333333333333334,19
0.16666666666666666,0.16666666666666666,0.16666666666666666,20
-0.5,-0.5,-0.5,21
-1.0,-1.0,-1.0,22
-1.1666666666666667,-1.1666666666666667,-1.1666666666666667,23
-1.3333333333333333,-1.3333333333333333,-1.3333333333333333,24
-1.8333333333333333,-1.8333333333333333,-1.8333333333333333,25
-2.5,-2.5,-2.5,26
-2.944444444444444,-2.944444444444444,-2.944444444444444,27
-3.1666666666666665,-3.1666666666666665,-3.1666666666666665,28
-3.1666666666666665,-3.1666666666666665,-3.1666666666666665,29
-3.6666666666666665,-3.6666666666666665,-3.6666666666666665,30
-4.75,-4.75,-4.75,31
-5.5,-5.5,-5.5,32
-6.5,-6.5,-6.5,33
-7.4444444444444455,-7.4444444444444455,-7.4444444444444455,34
-7.777777777777778,-7.777777777777778,-7.777777777777778,35
-7.833333333333333,-7.833333333333333,-7.833333333333333,36
-8.222222222222221,-8.222222222222221,-8.222222222222221,37
-9.25,-9.25,-9.25,38
-10.583333333333334,-10.583333333333334,-10.583333333333334,39
-11.5,-11.5,-11.5,40
-11.75,-11.75,-11.75,41
-12.166666666666666,-12.166666666666666,-12.166666666666666,42
-12.555555555555557,-12.555555555555557,-12.555555555555557,43
-13.083333333333332,-13.083333333333332,-13.083333333333332,44
-13.666666666666668,-13.666666666666668,-13.666666666666668,45
-14.222222222222221,-14.222222222222221,-14.222222222222221,46
-14.722222222222221,-14.722222222222221,-14.722222222222221,47
-14.666666666666666,-14.666666666666666,-14.666666666666666,48
-14.416666666666668,-14.416666666666668,-14.416666666666668,49
-14.277777777777779,-14.277777777777779,-14.277777777777779,50
-14.583333333333332,-14.583333333333332,-14.583333333333332,51
-14.666666666666666,-14.666666666666666,-14.666666666666666,52
-14.733333333333334,-14.733333333333334,-14.733333333333334,53
-14.75,-14.75,-14.75,54
,,,55
,,,56
,,,57
,,,58
,,,59
,,,60
