timestamp,score
59:45,28:28
59:45,28:28
59:37,28:28
59:09,28:28
58:46,28:27
58:30,28:27
58:12,28:27
57:52,28:27
57:48,28:27
57:19,28:27
56:16,28:27
55:44,28:27
55:20,28:26
54:51,28:26
54:29,28:25
53:03,27:25
52:29,27:25
52:04,26:25
51:59,26:25
51:21,26:25
50:46,26:24
49:44,26:24
48:48,26:23
48:21,25:23
48:16,25:22
47:32,25:22
46:56,25:22
46:18,25:22
45:26,25:21
45:04,25:21
44:36,25:21
44:31,25:20
43:55,25:20
43:47,25:20
42:47,25:20
42:31,25:19
41:59,24:19
41:39,24:19
41:16,23:19
40:42,23:19
40:35,23:18
39:40,23:18
39:32,23:18
38:33,23:18
38:24,23:17
38:00,22:17
37:29,22:16
37:12,22:16
36:54,22:16
36:41,22:16
36:33,22:16
36:05,21:16
35:31,21:16
35:24,21:16
34:53,20:16
34:27,20:16
33:35,19:16
33:23,19:15
32:50,18:15
32:39,18:15
32:28,18:15
32:16,18:14
31:42,18:14
31:29,18:14
29:42,18:14
29:10,18:14
28:40,18:13
28:36,17:13
28:20,17:13
27:56,17:13
27:42,17:12
27:15,16:12
27:05,16:12
26:36,16:12
26:23,16:11
26:14,16:11
25:39,15:11
25:01,15:10
24:19,14:10
23:53,14:10
23:48,13:10
23:39,13:10
22:47,12:10
22:35,12:10
21:36,11:10
21:32,11:10
21:23,11:10
21:20,11:10
20:57,11:10
20:54,10:10
20:32,10:10
20:00,10:10
19:45,10:9
19:22,9:9
19:18,9:8
18:49,9:8
18:29,8:8
17:56,8:8
17:39,8:7
17:23,8:7
17:21,8:7
16:39,7:7
16:10,7:7
15:40,7:7
15:27,7:7
14:57,6:7
14:17,6:7
13:26,6:7
13:24,6:7
12:42,6:7
12:38,6:7
12:34,6:7
11:58,6:7
11:50,5:7
11:41,5:7
11:16,4:7
11:03,4:6
10:10,3:6
10:08,3:6
09:57,3:5
09:49,3:5
09:39,3:4
09:17,2:4
09:01,2:4
08:56,2:3
08:18,2:3
08:10,2:3
07:36,2:3
06:59,2:3
06:29,1:3
06:25,1:2
05:58,1:2
05:53,1:1
05:05,1:1
05:02,1:1
04:51,1:1
04:44,1:1
04:35,1:1
03:58,1:1
03:25,1:1
03:18,1:1
02:19,1:1
01:54,0:1
01:46,0:0
01:06,0:0
