timestamp,score
59:56,26:28
59:43,26:28
59:38,26:27
59:35,26:27
59:00,26:27
58:34,26:26
58:28,25:26
57:58,25:26
57:03,25:26
56:22,25:26
55:59,25:26
55:19,25:26
55:14,25:26
54:37,25:26
54:02,25:25
53:06,24:25
52:58,24:25
52:06,24:25
51:27,24:24
50:54,23:24
50:45,23:23
50:13,23:23
50:03,23:23
49:32,23:23
49:23,23:23
48:52,23:23
48:42,22:23
48:34,22:23
48:00,21:23
47:30,21:22
47:26,20:22
47:19,20:22
46:48,20:22
46:32,20:21
46:15,20:21
46:04,20:21
45:12,19:21
44:47,19:21
44:43,18:21
44:31,18:21
43:48,18:21
42:57,18:21
42:04,18:20
41:54,18:20
40:47,18:20
40:11,18:20
39:25,18:19
39:13,17:19
38:52,17:19
38:41,17:19
38:15,17:18
37:17,16:18
36:52,16:17
36:48,15:17
36:11,15:17
36:11,15:17
36:05,15:16
35:34,15:16
35:27,15:16
34:51,14:16
34:45,14:16
34:07,14:16
33:50,14:15
33:00,14:15
32:55,14:14
32:35,14:14
32:05,14:14
31:57,13:14
31:24,13:13
30:54,12:13
30:00,12:12
29:56,11:12
29:12,11:12
29:07,11:12
28:51,11:12
28:18,11:12
28:09,11:12
28:03,11:12
28:00,11:12
27:28,11:12
27:18,11:11
27:10,11:11
26:55,11:11
26:31,10:11
25:57,10:11
25:18,9:11
25:10,9:10
24:59,9:10
24:38,9:10
24:18,9:10
23:38,9:10
23:11,9:10
22:59,9:9
21:47,9:9
21:07,9:9
20:29,8:9
20:23,8:9
20:22,8:9
20:10,8:8
19:54,8:8
19:24,8:8
19:15,8:8
19:04,8:8
19:03,7:8
18:47,7:8
18:17,7:8
18:00,7:7
17:51,7:7
16:50,7:6
16:27,6:6
16:15,6:6
15:45,6:6
15:28,5:6
14:34,5:6
14:07,5:5
14:02,4:5
13:50,4:5
13:26,4:5
12:48,4:4
12:03,4:4
11:45,4:3
11:45,4:3
11:18,4:3
10:49,4:3
10:24,4:3
10:10,4:2
09:53,4:2
09:46,4:2
09:03,4:2
08:33,4:2
08:02,4:2
07:57,4:2
07:44,3:2
07:10,3:2
06:48,3:2
06:40,2:2
06:23,2:2
05:34,2:2
05:21,2:2
05:06,2:2
04:27,2:1
04:17,2:1
03:55,2:1
03:10,2:0
02:57,2:0
02:21,2:0
02:16,1:0
01:33,1:0
01:05,1:0
00:57,1:0
00:47,1:0
00:27,1:0
